STRING	INT	INT	FLOAT	INT	INT
STRING	INT	INT	FLOAT	INT	INT
Ќ≠њу¬ц	1	1	0	8	20003001
ќэњу	2	10	0.2	8	20003002
ћъњу	4	15	0.4	8	20003003
–юћъњу	8	20	0.8	8	20003004
“шњу	16	25	1.6	8	20003005
—™µќ“шњу	32	30	3.2	8	20003006
љрњу	64	35	6.4	8	20003007
∞„љрњу	128	40	12.8	8	20003008
ЇЏ ѓњу	256	45	25.6	8	20003009
љрЄ’ ѓњу	512	50	51.2	8	20003010
≤Ё”г	1	1	0	10	20002001
±Ђ”г	2	10	0.2	10	20002002
јр”г	4	15	0.4	10	20002003
цаЅъ”г	8	20	0.8	10	20002004
єр”г	16	25	1.6	10	20002005
Љ„”г	32	30	3.2	10	20002006
у¶–Ј	64	35	6.4	10	20002007
ќд≤э”г	128	40	12.8	10	20002008
Ї”ла	256	45	25.6	10	20002009
љрЅъ”г	512	50	51.2	10	20002010
