INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	∑Ï»“(µ»º∂1)	1000	10000	0	0	0	50	»Ó–«÷Ò	1000	10000
2	∑Ï»“(µ»º∂2)	1500	15000	0	0	0	50	»Ó–«÷Ò	1500	15000
3	∑Ï»“(µ»º∂3)	2250	20000	0	0	0	50	»Ó–«÷Ò	2250	20000
4	∑Ï»“(µ»º∂4)	3375	25000	0	0	0	50	»Ó–«÷Ò	3375	25000
5	∑Ï»“(µ»º∂5)	5062	30000	0	0	0	50	»Ó–«÷Ò	5062	30000
6	∑Ï»“(µ»º∂6)	7593	35000	0	0	0	50	»Ó–«÷Ò	100000	35000
7	∑Ï»“(µ»º∂7)	11390	40000	0	0	0	50	»Ó–«÷Ò	120000	40000
8	∑Ï»“(µ»º∂8)	17085	45000	0	0	0	50	»Ó–«÷Ò	140000	45000
9	∑Ï»“(µ»º∂9)	25628	50000	0	0	0	50	»Ó–«÷Ò	160000	50000
10	∑Ï»“(µ»º∂10)	38443	55000	0	0	0	50	»Ó–«÷Ò	180000	55000
