INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
0	0	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	140	1	139	1	142	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	140	1	139	1	142	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	140	1	139	1	142	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	145	1	146	1	147	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	145	1	146	1	147	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	145	1	146	1	147	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
16	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
17	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
18	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
19	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
20	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
21	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
26	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
27	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
28	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
29	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
41	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
42	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	-1	-1
