INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT
0	玩家被治疗	-10	70	72	-10	-120	30	1000	1000	FF009f3c	ffffff	FFfa1004	140302	1	1	4	2	200	400
1	玩家被伤害	-10	80	72	-10	-150	30	2000	200	ff00b4	f7bb04	FFfa1004	f7bb04	1	1	4	2	200	400
2	玩家的怒气增加	0	0	-100	0	200	0	0	0	FFFFFF00	FFFFFF	FFFFFF00	FFFFFF	1	1	4	2	200	400
3	玩家的怒气减少	0	0	-100	0	200	0	0	0	FFFFFF00	FFFFFF	FFFFFF00	FFFFFF	1	1	4	2	200	400
4	玩家的mana增加	-10	80	72	10	-120	0	1000	1000	FF0629ff	FFFFFF	FF0000FF	FFFFFF	1	1	4	2	200	400
5	玩家的mana减少	-10	80	72	10	-120	0	0	0	FF0629ff	FFFFFF	FF0000FF	FFFFFF	1	1	4	2	200	400
6	宠物对object造成的伤	0	1	0	75	0	-150	800	1000	FFf8f400	0	FFf8f400	0	1	1	4	2	200	400
7	玩家对object造成的伤害	0	1	0	75	0	-150	800	1000	FFfa1004	f7bb04	FFfa1004	f7bb04	1	1	4	2	200	400
8	玩家攻击其他对象时免疫，闪避，	0	1	0	75	0	-150	0	1800	FFfefefd	0	FFfefefd	0	1	1	4	2	200	400
9	玩家被其他对象攻击时免疫，闪避，	-10	60	60	15	-115	0	500	1500	FFFFFFFF	0	FFFFFFFF	0	1	1	4	2	200	400
10	技能名称	0	1	0	75	0	-150	800	1000	FFfa1004	f7bb04	FFfa1004	f7bb04	1	1	4	2	200	400
100	玩家被治疗2	-10	60	72	0	-120	0	1000	1000	FF009f3c	ffffff	FFfa1004	140302	1	1	4	2	200	400
