INT	INT	INT	INT	STRING	STRING
INT	INT	INT	INT	STRING	STRING
0	0	0	0		
1	4	5	-1	右武器绑定点	
2	8	9	18	右武器绑定点	
3	6	7	-1	头顶状态点	
4	10	11	-1	右武器绑定点	
5	3	0	-1	身体受击点	
6	13	14	-1	脚下光圈点	
7	15	16	-1	脚下光圈点	
8	23	24	-1	右武器绑定点	
9	21	22	13	脚下光圈点	
10	27	0	-1	脚下光圈点	
11	25	26	-1	脚下光圈点	
12	28	0	-1	身体受击点	
13	17	18	14	脚下光圈点	
14	19	0	15	脚下光圈点	
15	29	30	16	脚下光圈点	
16	31	0	-1	右武器绑定点	
17	34	35	-1	右武器绑定点	
18	32	33	17	右武器绑定点	
19	36	37	-1		
20	3	0	-1		
21	39	0	-1		
22	38	0	-1		
23	40	0	-1		
24	15	0	-1		
25	41	0	13		
26	42	0	-1		
