INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING
INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING
1	0	µûÃÎ	30008039	1	3	GirlProtagonist_1	50000	1	µûÃÎ
2	0	ÈõË®	30008039	1	3	GirlProtagonist_2	50000	2	ÈõË®
3	0	ÔÆç¿	30008039	1	3	GirlProtagonist_3	50000	3	ÔÆç¿
4	0	Ó«»ó	30008039	1	3	GirlProtagonist_4	50000	4	Ó«»ó
5	0	ÓÄê¼	30008039	1	3	GirlProtagonist_5	50000	5	ÓÄê¼
6	0	Äı¹â	30008039	1	3	GirlProtagonist_6	50000	6	Äı¹â
7	0	À¼ÜÆ	30008039	1	3	GirlProtagonist_7	50000	7	À¼ÜÆ
8	0	ºìÁ«	30008039	1	3	GirlProtagonist_8	50000	8	ºìÁ«
9	0	ÁğÁ§	30008039	1	3	GirlProtagonist_9	50000	9	ÁğÁ§
10	0	ÑïÓğ	30008039	1	3	GirlProtagonist_10	50000	10	ÑïÓğ
11	0	ÏÉÁé	30008039	1	3	GirlProtagonist_11	50000	11	ÏÉÁé
12	0	½õÉª	30008039	1	3	GirlProtagonist_12	50000	12	½õÉª
13	1	ÔÆ»Ä	30008039	1	3	ManProtagonist_1	50000	13	ÔÆ»Ä
14	1	Çà·æ	30008039	1	3	ManProtagonist_2	50000	14	Çà·æ
15	1	¾ÅÏö	30008039	1	3	ManProtagonist_3	50000	15	¾ÅÏö
16	1	Á÷Ó°	30008039	1	3	ManProtagonist_4	50000	16	Á÷Ó°
17	1	ĞÇ»ê	30008039	1	3	ManProtagonist_5	50000	17	ĞÇ»ê
18	1	ÇåËª	30008039	1	3	ManProtagonist_6	50000	18	ÇåËª
19	1	·çÑÅ	30008039	1	3	ManProtagonist_7	50000	19	·çÑÅ
20	1	Ë··ç	30008039	1	3	ManProtagonist_8	50000	20	Ë··ç
21	1	½ğ¸ê	30008039	1	3	ManProtagonist_9	50000	21	½ğ¸ê
22	1	×ÓñÆ	30008039	1	3	ManProtagonist_10	50000	22	×ÓñÆ
23	1	¹éĞ°	30008039	1	3	ManProtagonist_11	50000	23	¹éĞ°
24	1	ÁÒÑô	30008039	1	3	ManProtagonist_12	50000	24	ÁÒÑô
25	0	ĞÄÁ°	30008039	1	2	GirlProtagonist_13	50000	25	ĞÄÁ°
26	0	ÏÒÔÂ	30008039	1	2	GirlProtagonist_14	50000	26	ÏÒÔÂ
27	0	ÍüÓÇ	30008039	1	2	GirlProtagonist_15	50000	27	ÍüÓÇ
28	0	Ñ©Ó©	30008039	1	2	GirlProtagonist_16	50000	28	Ñ©Ó©
29	1	ê»Ìì	30008039	1	2	ManProtagonist_13	50000	29	ê»Ìì
30	1	º×ÃÎ	30008039	1	2	ManProtagonist_14	50000	30	º×ÃÎ
31	1	ĞĞ¸è	30008039	1	2	ManProtagonist_15	50000	31	ĞĞ¸è
32	1	²×ÀË	30008039	1	2	ManProtagonist_16	50000	32	²×ÀË
33	0	ÈçÓñ	30008039	1	2	GirlProtagonist_17	50000	33	ÈçÓñ
34	0	³Á·Æ	30008039	1	2	GirlProtagonist_18	50000	34	³Á·Æ
35	0	ÔÆÓ°	30008039	1	2	GirlProtagonist_19	50000	35	ÔÆÓ°
36	0	çóè¤	30008039	1	2	GirlProtagonist_20	50000	36	çóè¤
37	1	º®ÌÃ	30008039	1	2	ManProtagonist_17	50000	37	º®ÌÃ
38	1	ÄªÑÔ	30008039	1	2	ManProtagonist_18	50000	38	ÄªÑÔ
39	1	²ÔÒ¹	30008039	1	2	ManProtagonist_19	50000	39	²ÔÒ¹
40	1	×·ÔÆ	30008039	1	2	ManProtagonist_20	50000	40	×·ÔÆ
41	0	Äıá°	30008039	1	2	GirlProtagonist_21	50000	41	Äıá°
42	0	ÈôÓÇ	30008039	1	2	GirlProtagonist_22	50000	42	ÈôÓÇ
43	1	Ä«º®	30008039	1	2	ManProtagonist_21	50000	43	Ä«º®
44	1	Âûİ¼	30008039	1	2	ManProtagonist_22	50000	44	Âûİ¼
