INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	INT
INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	INT
0	»¢	1	1010	0.5	447	0	attach1	0	attach1	-1	1
1	»ÆæôÂí	1	1011	0.6	448	1	attach1	1	attach1	-1	1
2	»ÒÀÇ	1	1012	0.5	455	2	attach1	2	attach1	-1	1
3	µñ	1	1007	0.5	454	3	attach1	3	attach1	-1	-1
4	Â¹	1	1014	0.6	453	4	attach1	4	attach1	-1	1
5	º×	1	1008	0.9	450	5	attach1	5	attach1	-1	-1
6	Çà·ï	1	1018	0.5	451	6	attach1	6	attach1	-1	-1
7	ÂæÍÕ	1	1015	0.6	449	7	attach1	7	attach1	-1	1
8	êóÅ£	1	1016	0.6	452	8	attach1	8	attach1	-1	1
9	°×»¢	1	1002	0.5	456	9	attach1	9	attach1	-1	1
10	Çà°×æõÂí	1	1017	0.6	457	10	attach1	10	attach1	-1	1
11	°×ÀÇ	1	1003	0.5	464	11	attach1	11	attach1	-1	1
12	°×µñ	1	1001	0.5	463	12	attach1	12	attach1	-1	-1
13	°×Â¹	1	1004	0.6	462	13	attach1	13	attach1	-1	1
14	½ðÒíº×	1	1013	0.9	459	14	attach1	14	attach1	-1	-1
15	ºì°×·ï	1	1009	0.5	460	15	attach1	15	attach1	-1	-1
16	°×ÂæÍÕ	1	1005	0.6	458	16	attach1	16	attach1	-1	1
17	°×êóÅ£	1	1006	0.6	461	17	attach1	17	attach1	-1	1
18	Ê¨×Ó	1	1019	0.6	561	18	attach1	18	attach1	-1	1
19	°×Ê¨	1	1020	0.6	562	19	attach1	19	attach1	-1	1
20		1	-1	0.6	20	20	attach1	20	attach1	-1	1
21	×ßµñ	1	1025	0.5	446	21	attach1	21	attach1	-1	1
22	×ß°×µñ	1	1026	0.5	445	22	attach1	22	attach1	-1	1
23	Ïó	2	1027	0.7	443	23	attach1	23	attach2	-1	1
24	°×Ïó	2	1028	0.7	444	23	attach1	24	attach2	-1	1
25	Ë«ÈËµñ	2	1021	1.3	-1	31	Æï³Ëµã01	31	Æï³Ëµã02	-1	-1
26	Æï³ËÂ½Îá	1	1029	0.6	440	24	attach1	24	attach1	-1	1
27	Æï³ËÄ¾Å£Á÷Âí	1	1030	0.6	439	25	attach1	25	attach1	-1	1
28	Æï³ËÍÒÄñ	1	1031	0.6	436	23	attach1	23	attach1	-1	1
29	Æï³ËÏ¬Å£	2	1032	0.7	442	23	attach1	23	attach2	-1	1
30	Æï³ËÐÜ	1	1033	0.6	438	25	attach1	25	attach1	-1	1
31	Æï³ËÐþ¹ê	2	1034	0.5	441	26	attach1	26	attach2	-1	1
32	Æï³ËÖ©Öë	1	1035	0.6	437	24	attach1	24	attach1	-1	1
33	Æï³ËºÓÂí	2	1036	0.7	430	23	attach1	23	attach2	-1	1
34	Æï³ËÂí³µ	1	1037	0.7	431	27	attach1	27	attach1	-1	-1
35	Æï³ËÌìÂí	1	1038	0.7	432	25	attach1	25	attach1	-1	1
36	Æï³ËÍÃ×Ó	1	1039	0.7	433	26	attach1	26	attach1	-1	1
37	Æï³ËÎèÊ¨	1	1040	0.7	434	23	attach1	23	attach1	-1	1
38	Æï³ËÑ±Â¹	1	1041	0.7	435	25	attach1	25	attach1	-1	1
39	ÌìÊ¹³á°ò	1	1042	0.7	429	28	attach1	28	attach1	-1	-1
40	Æï³Ë¾ÞÈË	1	1043	0.7	427	26	attach1	26	attach1	-1	1
41	Æï³Ë´óÂÌÁú	2	1044	0.7	428	23	attach2	23	attach1	-1	-1
42	Æï³Ë÷çÂ¹Ñ©ÇÁ	2	1045	0.7	425	27	attach1	27	attach2	-1	-1
43	ÅËÉñÆï³Ë	2	1046	0.7	426	23	attach1	23	attach2	-1	1
44	ÌìÊ¹³á°ò	1	1061	0.7	424	28	attach1	28	attach1	-1	-1
45	Æï³Ë´º½Ú°×ÐÜ	1	2051	0.6	438	25	attach1	25	attach1	-1	1
46	Æï³Ë±ÌË®½ð¾¦ÊÞ	1	2172	0.7	532	23	attach1	23	attach1	-1	1
47	Æï³ËÐý×ªÄ¾Âí	2	2244	0.7	1079	23	attach1	23	attach2	-1	-1
48	Æï³Ë´º½ÚÄêÊÞ	1	2253	0.7	1077	23	attach1	23	attach1	-1	1
49	Æï³ËÇéÈË½Ú»¨³µ1	2	2254	0.6	1078	26	attach1	26	attach2	-1	-1
50	Æï³Ë°×±ª	1	2293	0.7	1080	23	attach1	23	attach1	-1	1
51	Æï³ËºÚ±ª	1	2294	0.7	1081	23	attach1	23	attach1	-1	1
