INT	INT	STRING	INT
INT	INT	STRING	INT
1	0	set:GirlProtagonist image:GirlProtagonist_1	3
2	0	set:GirlProtagonist image:GirlProtagonist_2	3
3	0	set:GirlProtagonist image:GirlProtagonist_3	3
4	0	set:GirlProtagonist image:GirlProtagonist_4	3
5	0	set:GirlProtagonist image:GirlProtagonist_5	3
6	0	set:GirlProtagonist image:GirlProtagonist_6	3
7	0	set:GirlProtagonist image:GirlProtagonist_7	3
8	0	set:GirlProtagonist image:GirlProtagonist_8	3
9	0	set:GirlProtagonist image:GirlProtagonist_9	3
10	0	set:GirlProtagonist image:GirlProtagonist_10	3
11	0	set:GirlProtagonist image:GirlProtagonist_11	3
12	0	set:GirlProtagonist image:GirlProtagonist_12	3
13	1	set:ManProtagonist image:ManProtagonist_1	3
14	1	set:ManProtagonist image:ManProtagonist_2	3
15	1	set:ManProtagonist image:ManProtagonist_3	3
16	1	set:ManProtagonist image:ManProtagonist_4	3
17	1	set:ManProtagonist image:ManProtagonist_5	3
18	1	set:ManProtagonist image:ManProtagonist_6	3
19	1	set:ManProtagonist image:ManProtagonist_7	3
20	1	set:ManProtagonist image:ManProtagonist_8	3
21	1	set:ManProtagonist image:ManProtagonist_9	3
22	1	set:ManProtagonist image:ManProtagonist_10	3
23	1	set:ManProtagonist image:ManProtagonist_11	3
24	1	set:ManProtagonist image:ManProtagonist_12	3
25	0	set:GirlProtagonist image:GirlProtagonist_13	2
26	0	set:GirlProtagonist image:GirlProtagonist_14	2
27	0	set:GirlProtagonist image:GirlProtagonist_15	2
28	0	set:GirlProtagonist image:GirlProtagonist_16	2
29	1	set:ManProtagonist image:ManProtagonist_13	2
30	1	set:ManProtagonist image:ManProtagonist_14	2
31	1	set:ManProtagonist image:ManProtagonist_15	2
32	1	set:ManProtagonist image:ManProtagonist_16	2
33	0	set:GirlProtagonist image:GirlProtagonist_17	2
34	0	set:GirlProtagonist image:GirlProtagonist_18	2
35	0	set:GirlProtagonist image:GirlProtagonist_19	2
36	0	set:GirlProtagonist image:GirlProtagonist_20	2
37	1	set:ManProtagonist image:ManProtagonist_17	2
38	1	set:ManProtagonist image:ManProtagonist_18	2
39	1	set:ManProtagonist image:ManProtagonist_19	2
40	1	set:ManProtagonist image:ManProtagonist_20	2
41	0	set:GirlProtagonist image:GirlProtagonist_21	2
42	0	set:GirlProtagonist image:GirlProtagonist_22	2
43	1	set:ManProtagonist image:ManProtagonist_21	2
44	1	set:ManProtagonist image:ManProtagonist_22	2
