INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT
0	附近频道	附近	3000	-1	0	-1	0	-1	0	0
1	队伍频道	队伍	1000	-1	0	-1	0	-1	0	0
2	世界频道	世界	180000	1	2	2	2	-1	0	15
3	密聊频道	私聊	1000	-1	0	-1	0	-1	0	6
4	系统频道	#-09	15000	-1	0	-1	0	-1	0	0
5	自建频道	自建	3000	-1	0	-1	0	-1	0	0
6	帮派频道	帮派	500	-1	0	-1	0	-1	0	0
7	门派频道	门派	3000	-1	0	-1	0	-1	0	0
8	自用频道	自用	3000	-1	0	-1	0	-1	0	0
9	帮助频道	帮助	3000	-1	0	-1	0	-1	0	0
10	喇叭频道	喇叭	0	-1	0	-1	0	-1	0	0
11	同城频道	同城	1000	-1	0	-1	0	-1	0	0
12	同盟频道	同盟	1000	-1	0	-1	0	-1	0	0
