INT	INT	INT	INT	STRING
INT	INT	INT	INT	STRING
1	0	9	180	#Y如果您是#G非正常#Y退出游戏，再次进入游戏时，会有#G3~5分钟#Y登录不进来，请稍安勿躁，略等等即可。
2	0	9	180	#Y在登入游戏时，请#G点击右方自己当前使用的网络服务商#Y，这样会根据您的选择优化您的速度。
3	0	9	180	#Y要鉴定装备的资质，不妨去找#G苏州（265，140）#R欧冶子#Y、#G洛阳（209，152）#R风胡子#Y、#G楼兰（219，229）#R程咬铁#Y或#G束河古镇（170，45）#R熊剑#Y，装备的情况将一目了然。
4	0	9	180	#Y小窍门：#G按TAB键#Y可以#G打开小地图#Y，如果有找人的任务，在小地图上可以看到要找的人的位置。
5	0	9	180	#Y你知道么？打开#G物品栏#Y，点上面的#G标签#Y，可以分别切换到#G材料类物品栏#Y和#G任务物品栏#Y。
6	0	9	180	#Y方便的小功能：#G按住鼠标右键拖动#Y可以#G旋转视角#Y。
7	0	9	180	#Y怎样才能知道我的装备情况呢？#G右键点击装备类物品#Y可以直接装备到角色身上，#Y同时#G点击左下的人物按钮#Y，可以查看#G人物属性#Y和#G装备信息#Y。
8	0	9	180	#Y轻功，轻功，飞！#G按住ctrl后用鼠标点击远处的地面即可使用轻功#Y，如果点在某些房顶上，还可以跳上房顶。
9	0	9	180	#Y公共骑乘：在#G大理#Y的#G城门附近#Y，可以#G骑乘大雕#Y到达另外一个城门#Y。
10	0	9	180	#Y场景任务：#G大理东西门外#Y的场景中#G有NPC提供的任务#Y，完成之后可以获得#G比较多#Y的#G经验#Y和#G金钱#Y。
11	0	9	180	#Y小窍门：#G右键#Y点击物品可以#G直接使用#Y，也可以#G按住鼠标左键#Y将物品拖到#G快捷栏#Y当中，然后#G按快捷键#Y进行使用。
12	0	9	180	#G右键点击使用江湖指南#Y，仔细阅读，可以了解到很多游戏中的东西。如果没有江湖指南，可以到#G大理城中央（160，156）#R赵天师#Y那里#G免费#Y领取，或是点击游戏主页面右上角小地图上的#G绿色卷轴形按钮#Y直接查看。
13	0	9	180	#Y快没血了？#G新手#Y玩家可以在#G大理东门（278，153）#Y江湖游医#R白展元#Y、#G西门（39，153）#Y江湖游医#R陶先秋#Y处进行#G免费#Y治疗#Y。
14	0	9	180	#G左键点击#Y快捷栏上的#G打坐图标#Y，可以坐下打坐，恢复血和气。
15	0	9	180	#Y方便的小功能：前后#G滚动鼠标#Y中间的#G滚轮#Y，可以#G拉远推近视角#Y。
16	0	9	180	#Y方便的小功能：按快捷键#GALT+HOME#Y或#GALT+END#Y可以提高或降低视角#Y。
17	0	9	180	#Y你知道吗？#G按下快捷键Alt+M#Y可以打开#G世界地图#Y，从那里您可以根据自己的等级了解自己去什么场景战斗比较合适。
18	10	19	300	#Y如果您是#G非正常#Y退出游戏，再次进入游戏时，会有#G3~5分钟#Y登录不进来，请稍安勿躁，略等等即可。
19	10	19	300	#Y在登入游戏时，请#G点击#Y右方#G自己当前使用的网络服务商#Y，这样会根据您的选择优化您的速度。
20	10	19	300	#Y要鉴定装备的资质，不妨去找#G苏州（265，140）#R欧冶子#Y、#G洛阳（209，152）#R风胡子#Y、#G楼兰（219，229）#R程咬铁#Y或#G束河古镇（170，45）#R熊剑#Y，装备的情况将一目了然。
21	10	19	300	#Y珍兽的食物到#G洛阳#Y的#G珍兽店（182，157）#R云渺渺#Y，#G苏州#Y的#G珍兽店（87，142）#R云霏霏#Y，#G大理#Y的#G珍兽店（265，129）#R云飘飘#Y，#G楼兰#Y的#G珍兽店（109，121）#R云兮兮#Y和#G束河古镇#Y的#G珍兽店（108，126）#R云芊芊#Y处购买。
22	10	19	300	#Y珍兽死亡后，快乐度会相应减少。如果快乐度#G大于等于60#Y，那么珍兽可以继续出战，但是如果#G快乐度小于60#Y，珍兽就不能参加战斗了，这时需要到#G各大主城#Y内的#G珍兽店#Y处购买#G宠物玩具#Y来提高珍兽的快乐度。
23	10	19	300	#G组队练级#Y会有#G更多#Y的经验收获。组队之后可以根据不同的需要由#G队长#Y选择不同的#G经验分配模式#Y。
24	10	19	300	#Y小窍门：#G左键点击#Y快捷栏上的#G打坐图标#Y，可以坐下打坐，能恢复#G血#Y和#G气#Y。
25	10	19	300	#Y快没血了？#G新手#Y玩家可以在#G大理东门（278，153）#Y江湖游医#R白展元#Y、#G西门（39，153）#Y江湖游医#R陶先秋#Y处进行#G免费#Y治疗#Y。
26	10	19	300	#G未鉴定#Y的物品需要购买#G鉴定符#Y鉴定，#G右键点击#Y使用鉴定符后，选择待鉴定物品进行鉴定。
27	10	19	300	#Y小窍门：#G按TAB键#Y可以#G打开小地图#Y，如果有找人的任务，在小地图上可以看到要找的人的位置。
28	10	19	300	#Y方便的小功能：#G按住鼠标右键拖动#Y可以#G旋转视角#Y。
29	10	19	300	#Y轻功，轻功，飞！#G按住ctrl后用鼠标点击远处的地面即可使用轻功#Y，如果点在某些房顶上，还可以跳上房顶。
30	10	19	300	#Y右键点击玩家的模型，打开菜单后，#G点击#Y“#G邀请加队#Y”，便可以向对方发出#G组队邀请#Y的信息，当对方同意后，组队成功。
