INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
1	0x0028	TNT2 / TNT2 Pro	0	0	0	2	0	0	0
2	0x0020	Riva TNT	0	0	0	2	0	0	0
3	0x0018	Riva 128	0	0	0	2	0	0	0
4	0x002D	TNT2 Model 64 / TNT2 Model 64 Pro	0	0	0	2	0	0	0
5	0x0029	TNT2 Ultra	0	0	0	2	0	0	0
6	0x002A	TNT2	0	0	0	2	0	0	0
7	0x002B	Riva TNT2	0	0	0	2	0	0	0
8	0x00A0	Aladdin TNT2	0	0	0	2	0	0	0
9	0x0100	GeForce 256	1	0	1	2	0	0	0
10	0x0101	GeForce 256 DDR	1	0	1	2	0	0	0
11	0x0103	Quadro (GeForce 256 GL)	1	0	1	2	0	0	0
12	0x0110	GeForce2 MX / MX 400	1	0	1	2	0	0	0
13	0x0111	GeForce2 MX 100/200??? (DDR)	1	0	1	2	0	0	0
14	0x0113	Quadro2 MXR / EX / Go	1	0	1	2	0	0	0
15	0x0150	GeForce2 GTS / Pro	1	0	1	2	0	0	0
16	0x0151	GeForce2 Ti	1	0	1	2	1	0	0
17	0x0152	GeForce2 Ultra (BladeRunner)	1	0	1	2	1	0	0
18	0x0153	Quadro2 Pro	1	0	1	2	1	0	0
19	0x0200	GeForce3	1	0	1	2	2	0	0
20	0x0019	Riva 128ZX	0	0	0	0	0	0	0
21	0x0102	GeForce 256 Ultra	1	0	1	2	1	0	0
22	0x0112	GeForce2 Go / MX Ultra	1	0	1	2	0	0	0
23	0x0203	Quadro DCC	1	0	1	2	1	0	0
24	0x0202	GeForce3 Ti 500	1	1	1	2	2	0	0
25	0x02A0	GeForce3 Integrated GPU	1	1	1	2	2	0	0
26	0x0170	GeForce4 MX 460	1	0	1	2	1	0	0
27	0x0171	GeForce4 MX 440	1	0	1	2	2	0	0
28	0x0172	GeForce4 MX 420	1	0	1	2	2	0	0
29	0x0173	GeForce4 MX 440-SE	1	0	1	2	2	0	0
30	0x0174	GeForce4 440 Go 64MB	1	0	1	2	2	0	0
31	0x0175	GeForce4 420 Go	1	0	1	2	1	0	0
32	0x0178	Quadro4 500/550 XGL	1	2	1	2	1	0	1
33	0x017A	Quadro4 200/400 NVS	1	2	1	2	1	0	1
34	0x017B	Quadro4 550 XGL	1	2	1	2	1	0	1
35	0x017C	Quadro4 500 GoGL	1	2	1	2	1	0	1
36	0x0176	GeForce4 420 Go 32M	1	0	1	2	1	0	0
37	0x0179	GeForce4 440 Go 64M	1	0	1	2	2	0	0
38	0x0177	GeForce4 460 Go	1	0	1	2	2	0	0
39	0x0183	GeForce4 MX 420 with AGP 8X	1	0	1	2	2	0	0
40	0x0187	Geforce4 488 Go	1	0	1	2	2	0	0
41	0x031B	NVIDIA GeForce FX Go5600	1	2	1	2	2	0	0
42	0x0324	"nVidia GeForce FX Go 5200, 64MB"	1	1	1	2	2	0	0
43	0x01A0	GeForce2 Integrated Graphics	1	0	1	2	1	0	0
44	0x0182	GeForce4 MX 440SE with AGP 8X	1	0	1	2	1	0	0
45	0x0185	GeForce4 MX 4000	1	0	1	2	1	0	0
46	0x025B	Quadro4 700 XGL	2	2	2	2	2	0	1
47	0x0280	GeForce4 Ti 4800	2	2	2	2	2	0	1
48	0x0258	Quadro4 900 XGL	2	2	2	2	2	0	1
49	0x0259	Quadro4 750 XGL	2	2	2	2	2	0	1
50	0x0281	GeForce4 Ti 4200 with AGP 8X	2	1	2	2	2	0	1
51	0x0282	GeForce4 Ti 4800 SE	2	2	2	2	2	0	1
52	0x0288	Quadro4 980 XGL	2	2	2	2	2	0	1
53	0x0289	Quadro4 780 XGL	2	2	2	2	2	0	1
54	0x0300	GeForce FX	0	0	0	0	0	0	1
55	0x0301	GeForce FX 5800 Ultra	2	2	2	2	2	0	1
56	0x0302	GeForce FX 5800	2	2	2	2	2	0	1
57	0x0308	Quadro FX 2000	0	0	0	0	0	0	1
58	0x0309	Quadro FX 1000	0	0	0	0	0	0	1
59	0x0311	GeForce FX 5600 Ultra	2	1	2	2	2	0	1
60	0x0312	GeForce FX 5600	2	1	2	2	2	0	1
61	0x0314	GeForce FX 5600XT	2	1	2	2	2	0	1
62	0x0321	GeForce FX 5200 Ultra	0	0	0	0	0	0	1
63	0x0322	GeForce FX 5200	0	0	0	0	0	0	1
