INT	STRING	STRING	STRING	INT	STRING	INT	INT	STRING
INT	STRING	STRING	STRING	INT	STRING	INT	INT	STRING
0	ActionSkill	ActionSkill/ActionSkill.layout.xml	ActionSkill/ActionSkill.lua	2	wgjn	32	33	战斗技能界面
1	ActionSkillsStudy	ActionSkillsStudy/ActionSkillsStudy.layout.xml	ActionSkillsStudy/ActionSkillsStudy.lua	3	44	19	20	师门技能学习
2	Agname	Agname/Agname.layout.xml	Agname/Agname.lua	1	27	19	20	称号选择界面
3	ChangeMinorPassword	ChangeMinorPassword/ChangeMinorPassword.layout.xml	ChangeMinorPassword/ChangeMinorPassword.lua	0	53	19	20	修改密码界面
4	ChatFrame	ChatFrame/ChatFrame.layout.xml	ChatFrame/ChatFrame.lua	0	33	0	0	聊天界面
5	ChatInfo	ChatInfo/ChatInfo.layout.xml	ChatInfo/ChatInfo.lua	1	27	19	20	玩家信息
6	CommonSkill	CommonSkill/CommonSkill.layout.xml	CommonSkill/CommonSkill.lua	2	42	32	33	通用技能界面
7	LoginCreateRole	CreateRole/CreateRole.layout.xml	CreateRole/CreateRole.lua	1	#N/A	0	0	#N/A
8	Exchange	Exchange/Exchange.layout.xml	Exchange/Exchange.lua	1	30	19	20	交易物品界面
9	FriendInfo	FriendInfo/FriendInfo.layout.xml	FriendInfo/FriendInfo.lua	1	25	19	20	历史信息查询
10	GameSetup	GameSetup/GameSetup.layout.xml	GameSetup/GameSetup.lua	1	54	19	20	游戏配置
11	HistoryCorrespondence	HistoryCorrespondence/HistoryCorrespondence.layout.xml	HistoryCorrespondence/HistoryCorrespondence.lua	1	25	19	20	好友信息查询
12	InfoBrowser	InfoBrowser/InfoBrowser.layout.xml	InfoBrowser/InfoBrowser.lua	1	25	0	20	好友消息接受
13	InfoEdit	InfoEdit/InfoEdit.layout.xml	InfoEdit/InfoEdit.lua	1	25	0	20	好友消息发送
14	InputMoney	InputMoney/InputMoney.layout.xml	InputMoney/InputMoney.lua	1	52	0	0	存钱、取钱
15	InputMood	InputMood/InputMood.layout.xml	InputMood/InputMood.lua	1	27	0	0	心情寄语
16	LoginLogOn	LogOn/LogOn.layout.xml	LogOn/LogOn.lua	1	yxzcdl	0	0	#N/A
17	MainMenuBar	MainMenuBar/MainMenuBar.layout.xml	MainMenuBar/MainMenuBar.lua	0	31	0	0	快捷栏
