INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING
INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING
0	1	4	492	代劳	葛光佩	6	[240&173]			
1	3	6	493	蜂毒	干光豪	6	[241&181]			
2	5	8	503	红色宝藏钥匙	时迈	7	[263&201]			
3	5	8	504	黄色宝藏钥匙	时迈	7	[263&201]			
4	5	8	505	蓝色宝藏钥匙	时迈	7	[263&201]			
5	13	16	515	夹击	朱王礼	8	[63&81]	注意：想领取本任务须要完成前期的营救任务才可以。		
6	18	21	465	解铃人	陆凝霜	3	[181&81]	注意：想领取本任务须要完成前期的回绝任务才可以。		
7	18	21	466	蛛丝马迹	陆凝霜	3	[181&81]	注意：想领取本任务须要完成前期的解铃人任务才可以。		
8	20	23	469	嵩阳断肠草	陆松	3	[182&81]	注意：想领取本任务须要完成前期的金丝香囊任务才可以。		
9	23	26	645	断桥花妖	苏飞	30	[164&262]	注意：想领取本任务须要完成前期的修罗术任务才可以。		
10	23	26	646	白堤柳鬼	苏飞	30	[164&262]	注意：想领取本任务须要完成前期的修罗术任务才可以。		
11	23	26	647	归风庄	苏飞	30	[164&262]	注意：想领取本任务须要完成前期的修罗术任务才可以。		
12	30	33	522	秘密联络	寇封	18	[242&75]			
13	32	35	524	完美的灰熊皮	马承倩	18	[260&88]			
14	45	48	530	红寡妇	曲端	19	[232&192]			
15	45	48	532	红铁爪	曲端	19	[232&192]			
16	55	58	600	过冬的准备	郑玄	26	[182&163]			
17	60	63	541	黑蜂刺	阮老太太	20	[190&200]			
18	62	65	544	白马青牛	萧蔷	20	[164&158]	注意：想领取本任务须要完成前期的郡主的命令、英雄的证明任务才可以。		
19	62	65	546	勇气	萧蔷	20	[164&158]	注意：想领取本任务须要完成前期的绝情剑任务才可以。		
20	25	28	583	寻找草药	刀琅玕	24	[57&73]			
21	30	33	588	被缚的萨宁	萨宁	24	[92&126]			
22	40	43	591	粮食的故事	萨都	25	[195&113]			
23	43	46	593	神明的指示	萨桑	25	[202&108]			
24	53	56	667	斩草除根	水仙	32	[205&44]	注意：想领取本任务须要完成前期的手足相残、大开杀戒、格杀勿论任务才可以。		
25	38	41	656	凡心似蝶	阿青	31	[51&115]	注意：想领取本任务须要完成前期的往事如烟任务才可以。		
26	38	41	657	归风之迷	阿青	31	[51&115]	注意：想领取本任务须要完成前期的往事如烟任务才可以。		
27	75	78	550	白狼皮	巴图	21	[161&196]			
28	75	78	551	黑蜂蜜	巴图	21	[161&196]			
29	88	91	560	交贡品	完颜呵里布	22	[117&107]			
30	88	91	563	熊胆	完颜斡离不	22	[166&94]			
31	90	93	567	神医的配方	完颜兀术	22	[118&107]	注意：想领取本任务须要完成前期的送药酒任务才可以。		
32	88	91	564	极品人参	完颜粘没喝	22	[147&140]			
33	90	93	568	天涯海角	徒单福晋	22	[147&123]	注意：想领取本任务须要完成前期的神医的配方任务才可以。		
34	90	93	569	突袭	完颜阿骨打	22	[234&77]	注意：想领取本任务须要完成前期的韬光养晦任务才可以。		
35	96	99	631	阿松的请求	阿松	29	[201&256]			
36	98	101	634	厄修罗	阿雨	29	[182&265]	注意：想领取本任务须要完成前期的扬明的计划任务才可以。		
37	98	101	635	永夜修罗	阿雨	29	[182&265]	注意：想领取本任务须要完成前期的扬明的计划任务才可以。		
38	98	101	636	万劫修罗	阿雨	29	[182&265]	注意：想领取本任务须要完成前期的扬明的计划任务才可以。		
39	87	90	624	藤甲贼元帅	扬明	28	[157&223]	注意：想领取本任务须要完成前期的藤甲贼任务才可以。		
40	87	90	627	真实的谎言	白兰	28	[147&47]			
41	70	73	610	萝卜要蜘蛛	萝卜	27	[46&51]			
42	70	73	611	萝卜要云母	萝卜	27	[46&51]			
43	70	73	612	萝卜要龙血	萝卜	27	[46&51]			
44	65	68	670	无限商机	沈万三	33	[170&73]			
45	80	83	682	血字的研究	叶流凡	34	[115&58]			
46	80	83	684	五个橘核	岳仲秋	34	[206&237]			
47	82	85	686	一线光明	叶流凡	34	[115&58]	注意：想领取本任务须要完成前期的四签名任务才可以。		
48	92	95	692	盗神	元子衿	35	[241&159]			
49	92	95	694	显影药	凌忆慈	35	[246&151]	注意：想领取本任务须要完成前期的密信任务才可以。		
50	94	97	698	玄武门之变	岳老三	35	[256&242]	注意：想领取本任务须要完成前期的剪除勇士、剪除杀手任务才可以。		
51	98	101	571	温暖的呼吸	拓跋文	23	[163&191]			
52	98	101	578	痛苦的爆发	符夕颜	23	[166&204]	注意：想领取本任务须要完成前期的无奈的真相任务才可以。		
53	1	4	490	高山白猿	马五德	6	[92&127]			
54	3	6	494	闪电豹的骚扰	辛双清	6	[240&175]			
55	5	8	496	平息骚乱	葛光佩	6	[240&173]			
56	7	10	497	大铁网	辛双清	6	[240&175]			
57	9	12	499	刺杀特使	辛双清	6	[240&175]			
58	1	4	500	蜀道白猿	姜末	7	[220&68]			
59	1	4	501	蜀道黑猿	姜末	7	[220&68]			
60	8	11	506	炖肉	姜末	7	[220&68]			
61	9	12	508	修罗小鬼	姜桂芝	7	[216&42]			
62	10	13	510	心愿	杨文广	8	[252&145]			
63	10	13	512	兵俑	赵行德	8	[63&90]			
64	10	13	513	荒原豹	赵行德	8	[63&90]			
65	18	21	517	莫高窟	曹延惠	8	[55&63]	注意：想领取本任务须要完成前期的艺术任务才可以。		
66	15	18	460	白额虎	柴进	3	[200&66]			
67	15	18	461	遗弃木人	柴进	3	[200&66]			
68	15	18	462	颍水狼	柴进	3	[200&66]			
69	20	23	641	花港毒蜂	马汉	30	[187&256]			
70	20	23	642	水鬼探子	马汉	30	[187&256]			
71	25	28	648	苏飞的世界	苏飞	30	[164&262]	注意：想领取本任务须要完成前期的断桥花妖、白堤柳鬼、归风庄任务才可以。		
72	30	33	520	狼害	周无畏	18	[242&72]			
73	30	33	521	豹害	周无畏	18	[242&72]			
74	32	35	523	一打秦家寨	种世衡	18	[262&47]			
75	32	35	525	二打秦家寨	种世衡	18	[262&47]			
76	35	38	526	周处除三害	周无畏	18	[242&72]	注意：想领取本任务须要完成前期的狼害、豹害任务才可以。		
77	35	38	527	三打秦家寨	种世衡	18	[262&47]			
78	35	38	529	胜利的曙光	种世衡	18	[262&47]	注意：想领取本任务须要完成前期的一打秦家寨、二打秦家寨、三打秦家寨任务才可以。		
79	45	48	531	混乱的劫匪	耶律余睹	19	[195&41]			
80	45	48	534	混乱的护卫	耶律余睹	19	[195&41]			
81	51	54	538	混乱的教头	耶律余睹	19	[195&41]			
82	55	58	601	石林中的狼蛛	杨莲子	26	[180&160]			
83	55	58	606	点到为止	秦红棉	26	[45&44]			
84	55	58	607	除恶务尽	郑玄	26	[182&163]	注意：想领取本任务须要完成前期的点到为止任务才可以。		
85	60	63	540	脆弱的粮道	阮实	20	[198&202]			
86	62	65	542	郡主的命令	萧蔷	20	[164&158]			
87	62	65	543	英雄的证明	萧蔷	20	[164&158]			
88	65	68	548	煮豆燃萁	阮实	20	[198&202]			
89	25	28	581	清理野人	刀琅玕	24	[57&73]			
90	25	28	582	清理花斑豹	刀琅玕	24	[57&73]			
91	28	31	585	收复矿洞	刀尧	24	[207&49]			
92	28	31	586	收复坝子	刀尧	24	[207&49]			
93	28	31	587	收复茶马道	刀尧	24	[207&49]			
94	40	43	590	武力的考验	萨都	25	[195&113]			
95	40	43	592	异族的友谊	萨都	25	[195&113]			
96	43	46	595	拦路的头人	萨玛	25	[156&206]	注意：想领取本任务须要完成前期的冰封的情感任务才可以。		
97	43	46	596	拦路的土司	萨玛	25	[156&206]	注意：想领取本任务须要完成前期的冰封的情感任务才可以。		
98	43	46	598	灵魂的救赎	萨桑	25	[202&108]	注意：想领取本任务须要完成前期的飘雪的苍山任务才可以。		
99	50	53	660	白猿之害	紫薇	32	[195&42]			
100	50	53	661	蜘蛛之害	紫薇	32	[195&42]			
101	50	53	662	背叛者	紫薇	32	[195&42]			
102	53	56	664	手足相残	水仙	32	[205&44]	注意：想领取本任务须要完成前期的险情报告任务才可以。		
103	53	56	665	大开杀戒	水仙	32	[205&44]	注意：想领取本任务须要完成前期的险情报告任务才可以。		
104	53	56	666	格杀勿论	水仙	32	[205&44]	注意：想领取本任务须要完成前期的险情报告任务才可以。		
105	35	38	650	保护茶园	翁季之	31	[151&121]			
106	35	38	652	拦路水鬼	法念	31	[207&63]	注意：想领取本任务须要完成前期的独上金山寺任务才可以。		
107	35	38	653	纵火水鬼	法念	31	[207&63]	注意：想领取本任务须要完成前期的独上金山寺任务才可以。		
108	35	38	654	凿船水鬼	法念	31	[207&63]	注意：想领取本任务须要完成前期的独上金山寺任务才可以。		
109	78	81	555	红衣马匪	耶律金	21	[168&204]			
110	78	81	556	黑衣马匪	耶律金	21	[168&204]			
111	80	83	557	擒贼擒王	耶律金	21	[168&204]			
112	80	83	559	莽盖三杰	耶律金	21	[168&204]			
113	96	99	630	胆怯的阿雨	阿雨	29	[182&265]			
114	98	101	638	战争的原因	扬明	29	[157&223]			
115	84	87	620	凤凰旧寨	阿瓦	28	[150&49]			
116	84	87	622	黑苗战士	阿旺	28	[151&67]	注意：想领取本任务须要完成前期的蝴蝶神祭坛任务才可以。		
117	87	90	623	藤甲贼	扬明	28	[157&223]			
118	87	90	626	争夺矿山	白兰	28	[147&47]			
119	72	75	615	女娲石人	阿黑	27	[279&47]			
120	72	75	616	偃师护法	阿黑	27	[279&47]			
121	72	75	617	大偃师	阿黑	27	[279&47]			
122	65	68	671	坎坷的商途	沈万三	33	[170&73]			
123	67	70	673	泾渭分明	太阳花	33	[195&48]			
124	67	70	674	以眼还眼	荆棘	33	[161&286]			
125	80	83	680	黑暗	丁涟漪	34	[111&60]			
126	92	95	690	青青子衿	悠悠	35	[274&269]			
127	94	97	696	剪除勇士	岳老三	35	[256&242]			
128	94	97	697	剪除杀手	岳老三	35	[256&242]			
129	98	101	570	荒蛮的原野	拓跋文	23	[163&191]			
130	98	101	572	危险的处境	符夕颜	23	[166&204]			
131	98	101	575	重甲的战斗	慕容天狼	23	[45&276]	注意：想领取本任务须要完成前期的圣物的守护任务才可以。		
132	98	101	576	巴伦的战斗	慕容天狼	23	[45&276]	注意：想领取本任务须要完成前期的圣物的守护任务才可以。		
133	62	65	547	灵魂的呼唤	萧蔷	20	[163&158]	注意：想领取本任务须要完成前期的勇气任务才可以。		
134	25	28	584	妹妹要回家	刀琅玕	24	[57&73]	注意：想领取本任务须要完成前期的寻找草药任务才可以。		
135	43	46	594	冰封的情感	萨桑	25	[202&108]	注意：想领取本任务须要完成前期的神明的指示任务才可以。		
136	70	73	677	十字军	克里斯蒂安	33	[169&240]			
137	92	95	691	护花使者	悠悠	35	[274&269]	注意：想领取本任务须要完成前期的青青子衿任务才可以。		
138	3	6	495	无量玉壁	辛双清	6	[240&175]			
139	55	58	604	善良的呼唤	郑玄	26	[182&163]	注意：想领取本任务须要完成前期的绝望之地任务才可以。		
140	84	87	621	蝴蝶神祭坛	阿旺	28	[151&67]			
141	1	4	491	就地取材	马五德	6	[92&127]			
142	9	12	498	封锁敦煌	辛双清	6	[240&175]			
143	1	4	502	武侯祠	姜桂芝	7	[215&43]			
144	8	11	507	三分天下	时迈	7	[263&201]	注意：想领取本任务须要完成前期的红色宝藏钥匙、黄色宝藏钥匙、蓝色宝藏钥匙任务才可以。		
145	10	13	509	求援	姜桂芝	7	[215&43]	注意：想领取本任务须要完成前期的修罗小鬼任务才可以。		
146	10	13	511	蒙尘	回鹘王女	8	[252&177]	注意：想领取本任务须要完成前期的微薄之力任务才可以。		
147	13	16	514	营救	赵行德	8	[63&90]	注意：想领取本任务须要完成前期的蒙尘任务才可以。		
148	13	16	516	回归	杨文广	8	[252&254]	注意：想领取本任务须要完成前期的夹击任务才可以。		
149	18	21	518	战火	朱王礼	8	[63&81]			
150	18	21	519	战斗力	杨文广	8	[252&254]	注意：想领取本任务须要完成前期的湮灭任务才可以。		
151	15	18	463	来龙去脉	萧让	3	[209&79]			
152	15	18	464	安神药	陆松	3	[182&81]	注意：想领取本任务须要完成前期的来龙去脉任务才可以。		
