INT	STRING	FLOAT	FLOAT
INT	STRING	FLOAT	FLOAT
0	默认(必须有这行)	0.95	5.4
1	女主角	0.95	5.4
2	女主角(头)	1.6	1.3
3	男主角	1	6
4	男主角(头)	1.8	1.6
5	宠物:猫	0.3	3.05
6	宠物:兔	0.4	3.25
7	宠物:鸡	0.3	2.9
8	宠物:狗	0.3	3.35
9	宠物:山羊	0.4	3.45
10	宠物:鸭子	0.3	3.15
11	宠物:猪	0.4	3.7
12	宠物:鹅	0.5	4.3
13	宠物:毛驴	0.6	5.1
14	宠物:蛙	0.3	3.6
15	宠物:猴子	0.4	4.75
16	宠物:龟	0.3	3.6
17	宠物:蝙蝠	0.75	4.15
18	宠物:松鼠	0.55	4.8
19	宠物:蜥蜴	0.25	3.8
20	宠物:燕子	0.65	4.75
21	宠物:刺猬	0.5	5
22	宠物:浣熊	0.3	3.1
23	宠物:猫头鹰	1.15	4.75
24	宠物:鹦鹉	0.7	4.6
25	宠物:野猪	0.65	5.65
26	宠物:冰蚕	1	7.45
27	宠物:鹰	0.65	6
28	宠物:駮马	0.85	7.5
29	宠物:雪貂	0.65	6.55
30	宠物:孔雀	0.7	7.15
31	宠物:獾	0.5	4.45
32	宠物:犀牛	0.7	7.5
33	宠物:小象	0.65	7.85
34	宠物:黄鸟	0.95	6.35
35	宠物:年兽	0.85	9.95
36	宠物:龙龟	0.6	7.3
37	宠物:英招	0.8	9.5
38	宠物:麒麟	1.15	9.95
39	宠物:蛟龙	2.45	13.35
40	坐骑:虎	0.4	6.25
41	坐骑:黄骠马	0.9	7.4
42	坐骑:灰狼	0.9	7.05
43	坐骑:雕	3.1	8.25
44	坐骑:鹿	1.15	8
45	坐骑:鹤	2.55	11.9
46	坐骑:青凤	2.8	15
47	坐骑:骆驼	1.05	7.91
48	坐骑:牦牛	1	7.35
49	坐骑:白虎	0.5	6.1
50	坐骑:青白骢马	1.75	10.8
51	坐骑:白狼	0.6	6.4
52	坐骑:白雕	3	10
53	坐骑:白鹿	1.5	9
54	坐骑:金翼鹤	2.75	12.3
55	坐骑:红白凤	3.05	14.5
56	坐骑:白骆驼	1.1	7.91
57	坐骑:白牦牛	1.05	8.95
58	宠物:企鹅	0.6	6
59	宠物:霸王龙	0.9	8.1
60	宠物:白狐	0.6	6.3
61	宠物:北极熊	0.55	5.4
62	宠物:豹	0.6	6
63	宠物:鳄鱼	0.5	6.6
64	宠物:虎	0.7	6.3
65	宠物:狼	0.55	5.4
66	宠物:大螳螂	0.6	5.4
67	宠物:大猩猩	0.7	6.3
68	宠物:袋鼠	0.85	7.8
69	宠物:剑齿虎	0.65	6.6
70	宠物:剑龙	0.8	9.6
71	宠物:鸵鸟	1	8.4
72	宠物:鸭嘴兽	0.55	5
73	宠物:玄翼兽	1.85	5
74	坐骑:天使翅膀	2.4	7
75	宠物:大甲虫	0.5	4.75
76	宠物:蝴蝶	1.85	7
77	宠物:螃蟹	0.4	4
78	宠物:龙猫	0.5	4.3
79	宠物:树袋熊	0.6	4.75
80	宠物:熊猫	0.8	7
81	坐骑:大绿龙	4	20
82	坐骑:巨人	1.5	11
83	宠物:欢乐猪	0.95	5.4
84	宠物:宝箱童子	0.6	6
85	坐骑:圣诞雪橇	0.65	11
86	坐骑:潘神	1.2	11
87	宠物:唐装鼠	0.55	4.8
88	宠物:鸳鸯	0.35	4.75
89	宠物：穷奇	1	8.5
90	宠物：小狐仙	0.61	5.2
91	坐骑：碧水金睛兽	2.2	18
92	宠物：上古神猿	0.9	8.5
93	宠物：穿山甲	0.62	8.1
94	珍兽：比翼鸟	1.2	8.2
95	珍兽：春节牛	0.55	4.5
96	坐骑：圣诞	2	18
97	宠物：当扈	1.9	9
98	坐骑：春节年兽	0.8	9
99	坐骑：情人节花车1	1.8	11
100	珍兽：春节牛1	0.55	4.5
101	坐骑：白豹	0.7	8.5
102	坐骑：黑豹	0.7	8.5
103	坐骑：狮子	0.5	8
104	坐骑：白狮	0.5	8
105	宠物：go仔	0.45	3.8
