INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING
INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING
0	1	4	0	高山白猿（1-2级）	91&153	6	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
1	1	4	0	蜀道白猿（1-2级）	65&252	7	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
2	1	6	0	大黄蜂（3-4级）	54&250	6	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
3	1	6	0	蜀道黑猿（3-4级）	67&133	7	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
4	2	8	0	闪电豹（5-6级）	164&70	6	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
5	2	8	0	白茅草人（5-6级）	197&216	7	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
6	4	10	0	山蛛（7-8级）	108&190	6	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
7	4	10	0	鬼面侏儒（7-8级）	209&146	7	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
8	6	12	0	榆木傀儡（9-10级）	223&216	8	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
9	6	12	0	榆木傀儡（9-10级）	223&216	8	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
10	8	14	0	复仇恶猴（11-13级副本怪）	92&152	10	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
11	8	14	0	沙坡狼（11-12级）	250&182	8	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
12	9	15	0	残破兵俑（12-13级）	157&184	8	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
13	10	16	0	荒原豹（13-14级）	171&101	8	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
14	11	17	0	强壮恶猴（14-16级副本怪）	53&109	10	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
15	12	18	0	恶猿（15-16级）	64&98	3	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
16	12	18	0	盗墓小贼（17-18级）	38&82	166	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
17	12	18	0	恶猿（15-16级）	64&98	3	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
18	13	19	0	白额虎（16-17级）	50&179	3	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
19	14	20	0	遗弃木人（17-18级）	89&74	3	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
