INT	INT	STRING	STRING	STRING
INT	INT	STRING	STRING	STRING
0	1	"亲爱的玩家：欢迎你进入#R天龙八部#W游戏世界！你不妨去找#G大理城#W的#R赵天师#W[160,156]，他会告诉你很多事情哦！而且告诉你一个好消息你可以学习#B烹饪技能#W了，去找#G大理#W的烹饪大师#R杜子飞#W [112,169]吧！"		
1	2	"亲爱的玩家：恭喜你升到2级！#G大理城#W的#R赵天师#W[160,156]正在找你！想尽快升级吗？做新手任务是不可多得的选择哦！不但可以帮助你快速升级，还能帮助你熟悉游戏操作！另外，你现在已经有新装备可换了哦！"		
2	3	"亲爱的玩家：恭喜你升到3级！#G大理城#W的#R赵天师#W[160,156]正在找你！另外，记得更换你的装备！ "		
3	4	"亲爱的玩家：恭喜你升到4级！#G大理城#W的#R赵天师#W[160,156]正在找你！还有，打怪能得到修炼#B生活技能#W的材料，可以将它们卖给需要的玩家！另外，你现在又可以换新装备了哦！ "		
4	5	"亲爱的玩家：恭喜你升到5级！#G大理城#W的#R赵天师#W[160,156]正在找你！另外，你身上的装备也该换了吧！"		
5	6	"亲爱的玩家：恭喜你升到6级！#G大理城#W的#R赵天师#W[160,156]正在找你！对了，如果对城里的路线不熟悉，#R巡城禁卫#W和#R卫兵#W可以为你指路。另外，你现在已经可以换新装备了哦！"		
6	7	"亲爱的玩家：恭喜你升到7级！#G大理城#W的#R赵天师#W[160,156]正在找你！告诉你个窍门，打开世界地图后，点击每个地区可以得到这个地区的怪物信息。另外，记得更换你的装备！ "		
7	8	"亲爱的玩家：恭喜你升到8级！#G大理城#W的#R赵天师#W[160,156]正在找你！另外，你现在又可以换新装备了哦！ 顺便告诉你个小道消息，通过驿站可以快速的来往与地区之间，而且是免费的。"		
8	9	"亲爱的玩家：恭喜你升到9级！#G大理城#W的#R赵天师#W[160,156]正在找你！对了，你身上的装备也该换了吧！还有，你现在不如到#G敦煌#W看看，那里应该更适合这个级别的你练级哦！"		
9	10	"亲爱的玩家：恭喜你升到10级！现在你可以加入门派了（通过各个城市的驿站可以传送到九大门派)！并且，又有新装备可换！穿上新装备，你的战斗力、防御力将会大大提升！另外，你还可以去找#G大理#R穆子陵#W [107,169]学习#B钓鱼技能#W！"		
10	11	亲爱的玩家：恭喜你升到11级！已经熟悉游戏的你，在升级的同时是否想展现一下自己的才华呢？来参加科举活动吧！体现你包罗万象知识的时候到了！对了，百忙之中也别忘记换新装备！ 		
11	12	"亲爱的玩家：恭喜你升到12级！如果想赚点零花钱可以到#G洛阳#W找#R邱行洛#W [135,185]帮他送信！对了，记得换新装备哦！"		
12	13	亲爱的玩家：恭喜你升到13级！先把新装备换上，然后就差不多该去捉#R珍兽#W了，有了自己的#R珍兽#W，不但更威风，而且御敌更方便，远方有一座#G玄武岛#W，那里有五花八门的#R珍兽#W在等着你！		
13	14	"亲爱的玩家：恭喜你升到14级！已在江湖中崭露头角的你也许有丝迷惑，也许有丝彷徨，那就来#G大理#R聂政#W [142,134]处询问如何拜师吧！名师出高徒，相信一个光明的未来正等着你！再高的武功也要注意自我保护，记得换新装备哦！"		
14	15	亲爱的玩家：恭喜你升到15级！现在你可以到#G嵩山#W看看。而且你已经可以加入帮派了，快来吧！也许你加入的将会是以后的江湖第一大帮哦！对了，就算百忙之中也不能忘记换新装备呀！		
15	16	亲爱的玩家：恭喜你升到16级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
16	17	亲爱的玩家：恭喜你升到17级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
17	18	亲爱的玩家：恭喜你升到18级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
18	19	亲爱的玩家：恭喜你升到19级！现在你可以换身新装备了！穿上新装备，你的战斗力、防御力将会大大提升！		
19	20	"亲爱的玩家：恭喜你升到20级！你可以换上新装备到#G西湖#W看看，现在那里比较适合你！如果你是位姑娘，现在可以找个35级以上的帅哥携手江湖了，快与他去找#R月老#W吧！而且你现在可以学习#B采药、种植、采矿技能#W了！另外到#G洛阳#W驿站旁的#R田骁鸣#W [135,178]处可以学得骑乘#R陆行雕#W的技能！ "		
20	21	亲爱的玩家：恭喜你升到21级！现在你可以换身新装备了！穿上新装备，你的战斗力、防御力将会大大提升！		
21	22	亲爱的玩家：恭喜你升到22级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
22	23	亲爱的玩家：恭喜你升到23级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
23	24	亲爱的玩家：恭喜你升到24级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
24	25	亲爱的玩家：恭喜你升到25级！现在你可以去#G洱海#W看看了，那里比较适合现在的你！还有，换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！记得去#G玄武岛#W，你已经可以抓新#R珍兽#W了！		
25	26	亲爱的玩家：恭喜你升到26级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
26	27	亲爱的玩家：恭喜你升到27级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
27	28	亲爱的玩家：恭喜你升到28级！现在你可以换身新装备了！穿上新装备，你的战斗力、防御力将会大大提升！		
28	29	亲爱的玩家：恭喜你升到29级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
29	30	亲爱的玩家：恭喜你升到30级！可以去#G雁南#W看看了！本级可以做的事情很多，首先需要换新装备；另外，可以学习#B制药#W和#B门派生活技能#W了；第三，#G苏州#W的#R钱宏宇#W好像在找你；还有，能漕运了，很赚钱的快去吧！		
30	31	亲爱的玩家：恭喜你升到31级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！江湖豪杰齐聚，华山论剑之时，江湖儿女比武论剑，怎能少了你？！		
31	32	亲爱的玩家：恭喜你升到32级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
32	33	亲爱的玩家：恭喜你升到33级！现在你可以换身新装备了！穿上新装备，你的战斗力、防御力将会大大提升！		
33	34	亲爱的玩家：恭喜你升到34级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
34	35	亲爱的玩家：恭喜你升到35级！现在可以去#G龙泉#W闯荡了，另外告诉你一个小窍门，通过#B合成、镶嵌#W等操作会提升你装备武器的性能！另外换上新装备吧，这样你的战斗力、防御力将会大大提升！哦！这个等级的帅哥已经可以娶老婆了，快快抱个20级以上的妹妹去找#R月老#W吧！		
35	36	亲爱的玩家：恭喜你升到36级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
36	37	亲爱的玩家：恭喜你升到37级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
37	38	亲爱的玩家：恭喜你升到38级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
38	39	亲爱的玩家：恭喜你升到39级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
39	40	亲爱的玩家：恭喜你升到40级！本级又是事务繁多，你可以去#G苍山#W闯荡，可以运镖，换新装备，学低级#B骑乘技能#W，可以进行#R珍兽合成、繁殖#W，可以学习#B铸造技能#W，最重要的一点是：你终于可以建立自己的帮派了！以后你将可以带领自己的兄弟叱诧江湖，快意恩仇！何等威风！		
40	41	亲爱的玩家：恭喜你升到41级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
41	42	亲爱的玩家：恭喜你升到42级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
