INT	INT	INT	INT	INT	STRING	STRING	STRING
INT	INT	INT	INT	INT	STRING	STRING	STRING
0	0	4	10	0	在大理的东西城门分别有医生可以给10级以下的新手免费治疗。		
1	1	6	10	0	大理的（160&125）处&可以领取任务换取装备		
2	2	10	11	25	通过大理（241&136）处的驿站老板&（也可以按Tab键打开城市地图找“驿”的字样）可以传送至各个门派&然后找每个门派的掌门即可拜师。		
3	3	13	30	26	到洛阳的（173&61）找范纯仁&（也可以按Tab键打开城市地图找“帮”的字样）在弹出的帮派列表当中可以选择一个帮派加入。		
4	4	10	15	15	到洛阳的（207&184）处找姜渔即可学习钓鱼技能&（也可以按Tab键打开城市地图找“渔”的字样）记得去钓鱼之前买上鱼竿哦。		
5	5	20	25	16	到大理的（43&130）处找欧阳大叔即可学习种植&（也可以按Tab键打开城市地图找“农”的字样）记得要到田地里面点击稻草人方可种植。		
6	6	30	35	17	学习养生可以降低烹饪时所要求的活力&找洛阳（132&154）处的蔷薇即可学习。		
7	7	30	35	4	找（128&86）的玄渡即可学习少林独有的生活技能&找玄鸣即可学习辅助技能。		
8	8	30	35	5	找（87&61）的仇道人即可学习明教独有的生活技能&找方天定即可学习辅助技能。		
9	9	30	35	6	找（114&91）的吴长风即可学习丐帮独有的生活技能&找上官长雨即可学习辅助技能。		
10	10	30	35	7	找（44&56）的鹤云道人即可学习武当独有的生活技能&找宁虚散人即可学习辅助技能。		
11	11	30	35	8	找（43&108）的韩映雪即可学习峨嵋独有的生活技能&找扈三娘即可学习辅助技能。		
12	12	30	35	10	找（35&86）的本相即可学习天龙独有的生活技能&找本参即可学习辅助技能。		
13	13	30	35	9	找（101&87）的摘星子即可学习星宿独有的生活技能&找狮吼子即可学习辅助技能。		
14	14	30	35	11	找（119&67）的余婆即可学习天山独有的生活技能&找石嫂即可学习辅助技能。		
15	15	30	35	12	找（62&68）的冯阿三即可学习逍遥独有的生活技能&找石清露即可学习辅助技能。		
16	16	10	30	4	找（96&89）的慧方&即可领取师门任务&记得每天的前一轮任务（一轮根据等级不同而不同&大约为10～20个任务）奖励翻倍哦。		
17	17	10	30	5	找（98&105）的林岩&即可领取师门任务&记得每天的前一轮任务（一轮根据等级不同而不同&大约为10～20个任务）奖励翻倍哦。		
18	18	10	30	6	找（92&70）的洪通&即可领取师门任务&记得每天的前一轮任务（一轮根据等级不同而不同&大约为10～20个任务）奖励翻倍哦。		
19	19	10	30	7	找（78&92）的张中行&即可领取师门任务&记得每天的前一轮任务（一轮根据等级不同而不同&大约为10～20个任务）奖励翻倍哦。		
20	20	10	30	8	找（95&86）的孟龙&即可领取师门任务&记得每天的前一轮任务（一轮根据等级不同而不同&大约为10～20个任务）奖励翻倍哦。		
21	21	10	30	10	找（95&88）的本凡&即可领取师门任务&记得每天的前一轮任务（一轮根据等级不同而不同&大约为10～20个任务）奖励翻倍哦。		
22	22	10	30	9	找（96&92）的王彦&即可领取师门任务&记得每天的前一轮任务（一轮根据等级不同而不同&大约为10～20个任务）奖励翻倍哦。		
23	23	10	30	11	找（95&60）的符敏仪&即可领取师门任务&记得每天的前一轮任务（一轮根据等级不同而不同&大约为10～20个任务）奖励翻倍哦。		
24	24	10	30	12	找（120&153）的秦观&即可领取师门任务&记得每天的前一轮任务（一轮根据等级不同而不同&大约为10～20个任务）奖励翻倍哦。		
25	25	15	25	27	找高于自己10级的玩家即可拜师&拜师之后将会增加杀怪获得的经验&和师傅组队杀怪则获得更多。		
26	26	10	20	28	找自己门派当中的技能传授人&花费一定的经验和金钱即可学习本门独有的技能。		
27	27	15	35	0	在野外有很多散落的宝箱&打开之后会有意外惊喜哦&就看你的运气了。		
28	28	20	30	0	在其他玩家处可以购得定位符&在你想标志的地方使用之后&下次再使用对应的定位符即可很快的回到你标志的地方。不过只能在大理、洛阳、苏州城内使用。		
29	29	15	25	0	到敦煌之后&按Tab键打开场景地图&在地图的上方就会找到宝藏的字样&宝藏里面的怪物比野外的要多的多。		
30	30	20	25	18	到洛阳的严百草（120&169）处可以学习采药&学习采药之后采集到的药材可以出售给一些练习制药的玩家&其他任务有时也会需要一些药材。		
31	31	30	35	19	到洛阳的张明景（135&164）处可以学习制药&学习后可以使用药材制造出各种药品。		
32	32	30	35	20	到洛阳的白颖明（136&169）处可以学习药理&学习之后可以降低制药时活力的消耗。		
33	33	10	20	0	到洛阳的珍兽店&（在洛阳可以按Tab键打开城市地图即可看见“珍兽”字样）通过云涵儿（183&154）可以传送进玄武岛&杀死玄武岛上的怪物之后有一定几率出现可以捕捉的珍兽。		
34	34	15	20	0	在三个城市当中可以摆摊的地方&按“Alt+A”打开自己的物品栏之后&点击下面的“摆摊”按钮即可。		
35	35	15	20	0	到苏州的云霏霏（87&142）处（在苏州可以按Tab键打开城市地图找寻“珍兽”字样）&可以花费一定的金钱鉴定珍兽的成长率		
36	36	10	15	0	到洛阳的珍兽店&（在洛阳可以按Tab键打开城市地图即可看见“珍兽”字样）通过云清清（172&141）可以恢复珍兽的快乐度。		
37	37	10	15	0	到洛阳的珍兽店&（在洛阳可以按Tab键打开城市地图即可看见“珍兽”字样）通过云清清（172&141）购买的珍兽食物可以恢复珍兽的生命&也可以在城门附近的郎中处治疗。		
38	38	25	30	0	在其他玩家处可以购得门派召集令&使用之后可以迅速的回到自己的门派。		
39	39	20	25	21	到洛阳的薛铜锤（212&151）处可以学习采矿&学习采矿之后采集到的矿物可以出售给一些练习铸造、工艺的玩家&其他任务有时也会需要一些矿石。		
40	40	50	55	22	到洛阳的王德富（213&160）处可以学习铸造&铸造可以生产大量的神兵利器&但是财力一般者切勿尝试。		
41	41	25	30	0	到苏州的吴玠（126&133）处可以领取惩凶任务&在强盗的身上有可能掉落藏宝图。		
42	42	25	30	0	右键使用藏宝图后&会提示一个坐标&到指定的坐标再使用藏宝图后就有可能获得一系列奇遇&试试就知道了。		
43	43	50	55	23	到洛阳的符敏之（193&172）处可以学习缝纫&缝纫可以生产多种防具&但是财力一般者切勿尝试。		
44	44	50	55	24	到洛阳的龙三少（60&146）处可以学习工艺&工艺可以生产多种饰品&但是财力一般者切勿尝试。		
45	45	20	40	0	在赵天师处可以领取剧情任务&剧情任务分别在人物等级达到20&30&40&50……等整数级的时候可以领取。		
46	46	25	30	1	和男性的友好度到达1000之后即可找洛阳的月老（46&62）结婚。		
47	47	35	40	0	到洛阳的珍兽店&（在洛阳可以按Tab键打开城市地图即可看见“珍兽”字样）通过云清清（172&141）可以繁殖&但是需要找到同品种的异性珍兽。		
48	48	30	40	0	到各个城市的漕运使处（在城市内可以按Tab键打开地图找寻“漕”的字样）领取官票&然后购买货物贩运到其他城市即可。		
49	49	31	31	0	到洛阳的珍兽店&（在洛阳可以按Tab键打开城市地图即可看见“珍兽”字样）通过云清清（172&141）可以使成年珍兽变为珍兽宝宝&但是需要有“珍兽还童卷轴”。		
50	50	35	40	2	和女性的友好度到达1000之后即可找洛阳的月老（46&62）结婚。		
51	51	40	45	0	在苏州的钱宏宇（62&162）处即可领取连环任务&不过要邀请上几个好友同去。		
52	52	25	45	3	和等级低于你10级的玩家组队至大理聂政（141&133）处即可&不过记得首先要带低级玩家获得500点善恶值用于提升您的师德等级&师德等级为0的玩家不能收徒。成为师傅后杀怪有5％的经验加成。		
53	53	10	20	4	找本门（91&71）处的玄难（也可按Tab键打开小地图找“武”字样）&即可学习本门的独有心法&心法升到一定等级之后就可以学会新的技能。在技能界面中点击上面的心法&就可以在下面看到每个心法所对应的技能&将技能拖到快捷栏即可使用。		
54	54	10	20	5	找本门（109&59）处的庞万春（也可按Tab键打开小地图找“武”字样）&即可学习本门的独有心法&心法升到一定等级之后就可以学会新的技能。在技能界面中点击上面的心法&就可以在下面看到每个心法所对应的技能&将技能拖到快捷栏即可使用。		
55	55	10	20	6	找本门（94&99）处的奚三祁（也可按Tab键打开小地图找“武”字样）&即可学习本门的独有心法&心法升到一定等级之后就可以学会新的技能。在技能界面中点击上面的心法&就可以在下面看到每个心法所对应的技能&将技能拖到快捷栏即可使用。		
56	56	10	20	7	找本门（82&84）处的俞远山（也可按Tab键打开小地图找“武”字样）&即可学习本门的独有心法&心法升到一定等级之后就可以学会新的技能。在技能界面中点击上面的心法&就可以在下面看到每个心法所对应的技能&将技能拖到快捷栏即可使用。		
57	57	10	20	8	找本门（98&51）处的崔绿华（也可按Tab键打开小地图找“武”字样）&即可学习本门的独有心法&心法升到一定等级之后就可以学会新的技能。在技能界面中点击上面的心法&就可以在下面看到每个心法所对应的技能&将技能拖到快捷栏即可使用。		
58	58	10	20	10	找本门（97&67）处的本观（也可按Tab键打开小地图找“武”字样）&即可学习本门的独有心法&心法升到一定等级之后就可以学会新的技能。在技能界面中点击上面的心法&就可以在下面看到每个心法所对应的技能&将技能拖到快捷栏即可使用。		
