INT	INT	INT	STRING	STRING	STRING
INT	INT	INT	STRING	STRING	STRING
0	0	0	"#G洛阳#W的#R邱行洛#W[136,184]、#R赵明诚#W[228,175]、#R云涵儿#W[183，154]处会有任务。"		
1	1	1	#G苏州#W的#R王夫人#W[94，177]、#R吴玠#W[127，133]、#R呼延豹#W[244，215]、#R钱宏宇#W[62，162]处会有任务。		
2	2	2	"#G大理#W的#R赵天师#W[160,156]、#R蒲良#W[216，133]、#R杜子腾#W[110，159]、#R卢三七#W[102，131]、#R钱龙#W[145，138]、#R孙八爷#W[173，147]、#R云飘飘#W[265，128]、#R黄眉僧#W[275，49]、#R段延庆#W[215，284]、#R李工部#W[160，127]处会有任务。"		
3	3	3	"#G嵩山#W的#R柴进#W[200，66]、#R萧让#W[209，79]、#R陆松#W[203，68]、#R陆凝霜#W[182，81]处会有任务。本地出产#Y铜矿、白英、蒲黄、草鱼、青鱼#W。本地怪物有：#R恶猿#W，等级12～18级坐标为[64,98]。#R恶猿#W，等级12～18级坐标为[64,98]。#R白额虎#W，等级13～19级坐标为[50,179]。#R遗弃木人#W，等级14～20级坐标为[89,74]。#R颖水狼#W，等级15～21级坐标为[196,193]。#R遗弃铜人#W，等级16～22级坐标为[246,239]。#R卢崖铜人#W，等级17～23级坐标为[280,202]。"		
4	4	4	本地出产#Y铜矿、白英、蒲黄、草鱼、青鱼#W。		
5	5	5	本地出产#Y铜矿、白英、蒲黄、草鱼、青鱼#W。		
6	6	6	"#G无量山#W的#R马五德#W[92，128]、#R葛光佩#W[240，173]、#R干光豪#W[240，181]、#R辛双清#W[240，175]处会有任务。本地出产#Y铜矿、白英、蒲黄、草鱼、青鱼#W。本地怪物有：#R高山白猿#W，等级1～4级坐标为[91,153]。#R大黄蜂#W，等级1～6级坐标为[54,250]。#R闪电豹#W，等级2～8级坐标为[164,70]。#R山蛛#W，等级4～10级坐标为[108,190]。"		
7	7	7	"本地出产#Y铜矿、白英、蒲黄、草鱼、青鱼#W。本地怪物有：#R蜀道白猿#W，等级1～4级坐标为[65,252]。#R白茅草人#W，等级2～8级坐标为[197,216]。#R鬼面侏儒#W，等级4～10级坐标为[209,146]。#R蜀道黑猿#W，等级1～6级坐标为[67,133]。"		
8	8	8	"#G敦煌#W的#R曹延惠#W[55，63]、#R朱王礼#W[63，81]、#R回鹘王女#W[220，99]、#R赵行德#W[63，90]、#R杨文广#W[252，144]会有任务。本地出产#Y铜矿、白英、蒲黄、草鱼、青鱼#W。本地怪物有：#R沙坡狼#W，等级8～14级坐标为[250,182]。#R残破兵俑#W，等级9～15级坐标为[157,184]。#R荒原豹#W，等级10～16级坐标为[171,101]。#R榆木傀儡#W，等级6～12级坐标为[223,216]。"		
9	9	9	"本地怪物有：#R木人喽罗#W，等级38～44级坐标为[95,129]。#R木人精英#W，等级41～47级坐标为[128,84]。#R木人武士#W，等级44～50级坐标为[154,52]。"		
10	10	10	"本地怪物有：#R复仇恶猴#W，等级8～14级坐标为[42,147]。#R精壮恶猴#W，等级14～20级坐标为[91,102]。#R强壮恶猴#W，等级11～17级坐标为[53,109]。"		
11	11	11	"本地怪物有：#R密探先锋#W，等级28～34级坐标为[97,143]。#R青旗探马#W，等级31～37级坐标为[157,138]。#R蓝旗探马#W，等级34～40级坐标为[29,51]。"		
12	12	12	"本地怪物有：#R妖异心魔#W，等级68～74级坐标为[109,164]。#R破嗔心魔#W，等级71～77级坐标为[75,135]。#R杀欲心魔#W，等级74～80级坐标为[86,85]。"		
13	13	13	"本地怪物有：#R灭妖傀儡#W，等级88～94级坐标为[65,144]。#R诛仙傀儡#W，等级91～97级坐标为[147,149]。#R弑神傀儡#W，等级94～100级坐标为[36,78]。"		
14	14	14	"本地怪物有：#R腐体傀儡#W，等级78～84级坐标为[49,148]。#R蚀心傀儡#W，等级81～87级坐标为[118,147]。#R化魄傀儡#W，等级84～90级坐标为[151,150]。"		
15	15	15	"本地怪物有：#R峨嵋白眉恶猿#W，等级18～24级坐标为[137,153]。#R峨嵋利爪恶猿#W，等级21～27级坐标为[144,39]。#R峨嵋凶猱#W，等级24～30级坐标为[58,151]。"		
16	16	16	"本地怪物有：#R木王蜘蛛#W，等级48～54级坐标为[70,147]。#R水王蜘蛛#W，等级51～57级坐标为[138,95]。#R火王蜘蛛#W，等级54～60级坐标为[48,50]。"		
17	17	17	"本地怪物有：#R天山小雪怪#W，等级58～64级坐标为[41,146]。#R天山大雪怪#W，等级61～67级坐标为[151,40]。#R天山雪怪王#W，等级64～70级坐标为[124,48]。"		
18	18	18	"#G雁南#W的#R周无畏#W[242，73]、#R寇封#W[241，75]、#R种世衡#W[262，46]、#R马承倩#W[260，88]处会有任务。本地出产#Y银矿、寒铁矿、黃芩、枸杞、沉香、平鱼、扁头鱼#W。#G摩崖洞#W的坐标是[46,46]。本地怪物有：#R西北狼#W，等级27～33级坐标为[281,224]。#R金钱豹#W，等级28～34级坐标为[249,191]。#R灰熊#W，等级29～35级坐标为[213,75]。#R秦家寨探子#W，等级30～36级坐标为[127,200]。#R秦家寨喽啰#W，等级31～37级坐标为[91,162]。#R秦家寨亲兵#W，等级32～38级坐标为[64,202]。"		
19	19	19	"#G雁北#W的#R曲端#W[233，192]、#R耶律余睹#W[195，41]、#R苗庆#W[231，203]、#R鲁平#W[271，50]处会有任务。本地出产#Y玄铁矿、水晶矿、当归、桂心、香附、斗鱼、梭鱼#W。#G大军草料场#W的坐标是[50,64]。本地怪物有：#R红枫蜘蛛#W，等级42～48级坐标为[159,203]。#R红枫熊#W，等级43～49级坐标为[253,131]。#R秦家寨劫匪#W，等级44～50级坐标为[117,142]。#R秦家寨护卫#W，等级45～51级坐标为[43,166]。#R秦家寨教头#W，等级46～52级坐标为[107,226]。#R打草谷辽兵#W，等级47～53级坐标为[205,67]。"		
