INT	INT	INT	STRING	INT	STRING	STRING	STRING	STRING
INT	INT	INT	STRING	INT	STRING	STRING	STRING	STRING
0	4	10	如何找医生治疗	0	#Y如何找医生治疗？#r #r#W在#gfff0f0大理的东西城门#g000000#W处有#gfff0f0江湖游医免费#g000000#W给#gfff0f010级以下#g000000#W的新手治疗。			
1	6	10	如何得到新手套装	0	#Y如何得到新手套装？#r #r#W去#G大理（160，125）#R李工部#W处可以领取#gfff0f0换装备#g000000#W任务，完成任务后您就会得到新手套装了。			
2	10	11	如何加入门派	25	#Y如何加入门派？#r #r #W通过#G大理（241，136）#R驿站老板崔逢九#W、#G九州商会（236，131）#R传送人汪旱#W（也可以按Tab键打开城市地图找“驿”的字样）可以传送至各个门派，然后找每个门派的掌门即可拜师入派。#r如果您想了解各个门派的特色可以去#G大理#W找#G（160，156）#R赵天师#W询问，他会给您一个满意的答案。#r #W另外，加入门派后，找门派中的#gfff0f0任务发布人#g000000#W，可以领取#gfff0f0门派任务#g000000#W，记得#gfff0f0每天的前一轮#g000000#W任务（一轮根据等级不同而不同，大约为10～20个任务）#gfff0f0奖励翻倍#g000000#W哦！#r#W还有，找自己门派当中的#gfff0f0技能传授人#g000000#W，花费一定的#gfff0f0经验和金钱#g000000#W即可学习#gfff0f0本门独有的技能#g000000#W。			
3	11	120	如何加入帮派	26	#Y如何加入帮派？#r #r#W您可以到#G洛阳（140，95）#R范纯仁#W、#G苏州（226，185）#R范纯粹#W、#G大理（181，119）#R范纯礼#W处（也可以按Tab键打开您所在城市的地图找“#G帮#W”的字样），点击其与之对话，在弹出的帮派列表当中可以选择一个帮派加入，加入帮派可以使您的游戏生活更加丰富多彩！			
4	10	15	如何学习钓鱼	15	#Y如何学习钓鱼？#r #r#cfabf8f钓鱼是一种休闲的好手段！ #r#W在#G大理（107，169）#R穆子陵#W、#G洛阳（207，184）#R姜渔#W、#G（127，154）#R姜鲤#W和#G苏州（238，77）#R蒋平处，#g000000#W都可以学习#gfff0f0钓鱼技能#g000000#W。#r #r#cfabf8f学习钓鱼技能的条件是：#r#W玩家的等级达到#gfff0f010级#g000000#W即可。#r #r学习了钓鱼之后，可以到野外的一些河流有鱼的地方钓鱼，不过钓鱼之前记得购买#gfff0f0鱼竿#g000000#W并装备上。钓鱼并#gfff0f0不耗费精力和活力#g000000#W。此外钓到的鱼和其他物品可以用来#gfff0f0烹饪#g000000#W，当然有时某些任务也会需要。			
5	20	25	如何学习种植	16	#Y如何学习种植？#r #r#cfabf8f种植可以让我们获得丰富的粮食作物和织物！#r#W在#G大理（43，130）#R欧阳大叔#W、#G（277，167）#R公孙大叔#W、#G苏州（64，200）#R#W和#G洛阳（219，262）#R刘亦农#W处学习#gfff0f0种植技能#g000000#W。#r #r#cfabf8f学习种植技能的条件是：#r#W玩家的等级达到#gfff0f020级#g000000#W即可。#r #r#cfabf8f两种作物：#r #W食物类：主要用来烹饪。#r织物类：用来作为缝纫的原材料，一个成功的裁缝需要大量的织物。#r #r#cfabf8f三座城池出产的作物有：#r 大理出产的作物有：小麦、大米、红薯、芝麻、黄豆、芋头、苎麻、木棉、槿麻、陆地棉。#r洛阳出产的作物有：小麦、玉米、花生、高粱、蚕豆、马铃薯、苎麻、草棉、黄麻、绒棉、罗布麻。#r苏州出产的作物有：小麦、大米、红薯、绿豆、黄豆、蚕豆、苎麻、亚麻、云棉、青麻、彩棉。#r #r种植的时候需要#gfff0f0田地#g000000#W，在每个城市的周边都有。种植的时候还可以选择#gfff0f0晚产#g000000#W和#gfff0f0早产#g000000#W，晚产的成熟时间大约为70分钟，早产的成熟时间大约为5分钟左右。			
6	30	35	如何学习养生	17	#Y如何学习养生？#r #r#cfabf8f养养生对于喜欢烹饪的人来说非常实用！#r#W到#G洛阳（132，156）#W找#R蔷薇#W可以学习#gfff0f0养生技能#g000000#W。#r #r#cfabf8f学习养生技能的条件是：#r#W玩家的等级达到#gfff0f030级#g000000#W即可。#r #r学习养生学可以降低烹饪要求的活力，养生学的等级越高，每次烹饪时所要求的活力越少。如果您想做游戏当中的名厨，那么一定要学习养生。			
7	30	35	如何学习本门独有生活技能	4	#Y如何学习本门独有生活技能？#W找#G（128，86）#R玄渡 #W即可学习少林独有的#gfff0f0生活技能#g000000#W，找#G（135，90）#R玄鸣#W即可学习#gfff0f0辅助技能#g000000#W。#r #r#Y开光为少林派独门密技，使用后可以为你带来一些特别的物品哦！#r #r#cfabf8f开光技能：#r#W少林弟子到#G（128，86）#R玄渡#W那里，可以学习#gfff0f0开光技能#g000000#W！#r #r#cfabf8f学习开光技能的条件是：#r#W玩家的等级达到#gfff0f030级#g000000#W，并为#gfff0f0少林弟子#g000000#W即可。#r #r开光技能可以生产一些特别的物品。当然某些时候有些任务也会偶尔的要一些这样的物品。药材可以在佛印的加持下变得神奇，一些药材加一个佛印，就能制作出来佛教的独门秘药。这些秘药是在NPC处买不到的哦。本技能可花费经验和金钱学习并且升级。#r #r#Y佛法为开光的辅助密技，如果学习了开光，不如学习佛法来提高开光的能力！#r #r#cfabf8f佛法技能：#r#W少林弟子到#G（135，90）#R玄鸣#W那里，可以学习#gfff0f0开光技能#g000000#W！#r #r#cfabf8f学习佛法技能的条件是：#r#W玩家为#gfff0f0少林弟子#g000000#W即可。#r #r辅助开光的技能，提高开光的成功率，少林独有的生活技能。可花费经验和金钱学习并且升级。学习佛法可以降低开光时所要求的活力，佛法的等级越高，每次开光所要耗费的活力越少。			
8	30	35	如何学习本门独有生活技能	5	#Y如何学习本门独有生活技能？#W找#G（87，61）#R仇道人 #W即可学习明教独有的#gfff0f0生活技能#g000000#W，找#G（87，58）#R方天定 #W即可学习#gfff0f0辅助技能#g000000#W。#r #r#Y圣火术为明教独门密技，施展后可熔炼出更神奇的物品！#r #r#cfabf8f圣火术：#r#W明教弟子到#G（87，61）#R仇道人#W那里，可以学习#gfff0f0圣火术#g000000#W！#r #r#cfabf8f学习圣火术的条件是：#r#W玩家的等级达到#gfff0f030级#g000000#W，并为#gfff0f0明教弟子#g000000#W即可。#r #r明教独有的门派生活技能，利用#gfff0f0火丹#g000000#W可以将药草熔炼成更为神奇的物品。当然某些时候有些任务也会偶尔的要一些这样的物品。本技能可花费经验和金钱学习并且升级。#r #r#Y采火术为圣火术的辅助密技，如果学习了圣火术，不如学习采火术来提高圣火术的能力！#r #r#cfabf8f采火术：#r#W明教弟子到#G（87，58）#R方天定 #W那里，可以学习#gfff0f0采火术#g000000#W！#r #r#cfabf8f学习采火术的条件是：#r#W玩家为#gfff0f0明教弟子#g000000#W即可。#r #r学习采火术可以降低使用圣火术所要求的活力，采火术的等级越高，每次使用圣火术时所要耗费的活力越少。另外还能提升一定的成功率。本技能可花费经验和金钱学习并且升级。			
