INT	INT	STRING
INT	INT	STRING
298	1	╞о╞о╤╝
299	1	╞о╞о═├
300	5	═├╫╙
301	5	╤р╫╙
302	5	╬┌╣ъ
303	15	╣╖
304	15	┤╠тм
305	15	║я╫╙
306	25	╦╔╩є
307	25	ф╜╨▄
308	25	Ё╨Ё─
309	35	ЄсЄц
310	35	Є∙ЄЁ
311	35	┤єєлЄы
312	35	Ў∙╙у
313	45	├и═╖╙е
314	45	т╡
315	45	└╧╗в
316	45	╥░╓э
317	55	▒∙▓╧
318	55	╙е
319	55	═╥─ё
320	55	▒к╫╙
321	65	▒▒╝л╨▄
322	65	┐╫╚╕
323	65	╜г│▌╗в
324	65	┤є╨╔╨╔
325	75	╧м┼г
326	75	╤йїї
327	75	╜г┴·
328	75	ёХ┬э
329	85	│√╖я
330	85	─ъ╩▐
331	85	┴·╣ъ
332	85	╙в╒╨
333	95	ўшўы
334	95	Є╘┴·
335	20	▓ё├и
336	20	╝ж
337	20	╤╝╫╙
338	20	╔╜╤Є
339	20	├л┬┐
340	20	╢ь
341	20	░╘═ї┴·
342	5	╞є╢ь
343	75	┤№╩є
344	20	╤╝╫ь╩▐
345	5	╓э
346	5	╟р═▄
347	75	╨б╧є
348	5	╤й║№
349	25	└╟
600	65	┴·
601	5	┴·├и
602	45	╟┐┴·├и
603	55	╒ф┴·├и
604	65	│м┴·├и
605	75	╔ё┴·├и
606	5	─л╛╡├и
607	45	┴ў╨╨├и
608	55	╩▒╔╨├и
609	65	┼╝╧ё├и
610	75	╣┌╛№├и
611	5	╧м─ё
612	45	┴щ╧м─ё
613	55	╒ф╧м─ё
614	65	│м╧м─ё
615	75	╔ё╧м─ё
616	5	╨▄├и
617	45	╟┐╨▄├и
618	55	╒ф╨▄├и
619	65	│м╨▄├и
620	75	╔ё╨▄├и
621	5	єж╨╖
622	45	╟р╨╖
623	55	┤є╒в╨╖
624	65	│▒╨╨╨╖
625	75	╚▐Є№╨╖
626	5	╖█╡√
627	45	░▀╡√
628	55	╛ю╡√
629	65	╗╖╡√
