INT	INT	STRING	STRING	INT
INT	INT	STRING	STRING	INT
1	1	炼丹炉	公用小建筑/操作台炼丹炉.mesh	0
2	2	打造台	公用小建筑/操作台铁砧.mesh	1
3	3	书案	0物品/桌子.mesh	0
4	7	木牌	万劫谷/万劫谷篝火.mesh	1
5	4	制衣台	公用小建筑/操作台纺纱机.mesh	1
6	5	工艺台	公用小建筑/操作台小熔炉.mesh	1
7	8	东郭修罗石	水/铜锣石.mesh	1
8	8	西门修罗石	水/铜锣石.mesh	1
9	8	南宫修罗石	水/铜锣石.mesh	1
10	8	北城修罗石	水/铜锣石.mesh	1
11	9	手太阴肺经铜人	水/经脉铜人.mesh	1
12	9	手阳明大肠经铜人	水/经脉铜人.mesh	1
13	9	足阳明胃经铜人	水/经脉铜人.mesh	1
14	9	足太阴脾经铜人	水/经脉铜人.mesh	1
15	9	公告	洛阳/洛阳衙门告示牌.mesh	1
16	9	棋盘	0物品/摊3.mesh	1
17	10	路牌	公用小建筑/路标.mesh	0
