INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING
INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING
1	0	8	150	45	0	0	0		宝藏一层-敦煌（400086）
2	0	126	231	225	0	0	0		宝藏一层-宝藏洞二层（400087）
3	0	123	18	23	0	0	0		宝藏二层-宝藏洞一层（400088）
4	0	148	18	230	0	0	0		宝藏二层-宝藏洞三层（400089）
5	0	126	20	20	0	0	0		宝藏三层-宝藏洞二层（400090）
6	0	149	25	240	0	0	0		宝藏三层-宝藏洞四层（400091）
7	0	148	232	15	0	0	0		宝藏四层-宝藏洞三层（400092）
8	0	150	128	238	0	0	0		宝藏四层-宝藏洞五层（400093）
9	0	149	238	21	0	0	0		宝藏五层-宝藏洞四层（400094）
10	0	160	87	89	0	0	0		古墓一层-燕王古墓二层（400096）
11	0	159	31	66	0	0	0		古墓二层-燕王古墓一层（400097）
12	0	161	13	25	0	0	0		古墓二层-燕王古墓三层（400098）
13	0	160	108	25	0	0	0		古墓三层-燕王古墓二层（400099）
14	0	162	102	18	0	0	0		古墓三层-燕王古墓四层（400100）
15	0	161	109	105	0	0	0		古墓四层-燕王古墓三层（400101）
16	0	163	24	24	0	0	0		古墓四层-燕王古墓五层（400102）
17	0	162	59	44	0	0	0		古墓五层-燕王古墓四层（400103）
18	0	164	65	108	0	0	0		古墓五层-燕王古墓六层（400104）
19	0	163	105	18	0	0	0		古墓六层-燕王古墓五层（400105）
20	0	165	25	108	0	0	0		古墓六层-燕王古墓七层（400106）
21	0	164	64	64	0	0	0		古墓七层-燕王古墓六层（400107）
22	0	166	14	14	0	0	0		古墓七层-燕王古墓八层（400108）
23	0	165	80	24	0	0	0		古墓八层-燕王古墓七层（400109）
24	0	167	20	18	0	0	0		古墓八层-燕王古墓九层（400110）
25	0	166	42	27	0	0	0		古墓九层-燕王古墓八层（400111）
26	0	21	275	54	0	0	0		银皑雪原-辽西（400924）
27	0	24	41	159	0	0	0		苍山-洱海（400047）
28	0	171	27	66	0	0	0		苍山-野人沟（400134）
29	212127	0	0	0	0	0	0		苍山英雄任务
30	0	18	41	60	0	0	0		草原-雁南（400037）
31	0	19	143	254	0	0	0		古墓一层-雁北（400122）
32	0	21	63	288	0	0	0		草原-辽西（400038）
33	0	22	39	269	0	0	0		草原-长白山（400039）
34	0	174	230	230	0	0	0		草原-水晶湖（400142）
35	0	20	274	39	0	0	0		长白山-草原（400041）
36	0	23	49	272	0	0	0		长白山-黄龙府（400042）
37	0	30	48	228	0	0	0		船坞-西湖（400127）
38	0	24	280	37	10	0	0		大理-洱海（400008）
