INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING
INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING
0	洛阳	320	320	luoyang.Scene	luoyang.path	luoyang.wCollision	luoyang.jpg	18	60000	luoyangscene	590	394	590	418	Sign5	MiniMap_Icon2	LuoYang_Normal	MiniMap_Icon2	LuoYang_Hover	城市-洛阳	0.2;0.2
1	苏州	320	320	suzhou.scene	suzhou.path	suzhou.wCollision	suzhou.jpg	19	60000	suzhouscene	842	489	842	512	Sign7	MiniMap_Icon2	SuZhou_Normal	MiniMap_Icon2	SuZhou_Hover	城市-苏州	0.2;0.2
2	大理	320	320	dali.Scene	dali.path	dali.wCollision	dali.jpg	101	60000	daliscene	433	671	433	696	Sign9	MiniMap_Icon2	DaLi_Normal	MiniMap_Icon2	DaLi_Hover	城市-大理	0.2;0.25
3	嵩山	320	320	songshan.scene	songshan.path	songshan.wCollision	songshan.jpg	102	60000	songshan	673	478	673	501	Sign1	MiniMap_Icon2	SongShan_Normal	MiniMap_Icon2	SongShan_Hover	野外场景#r怪物等级15-21#r怪物种类：#r白额虎、遗弃木人、#r遗弃铜人、恶猿、#r颖水狼、卢崖铜人，#r生活原材料分布（1级）：#r铜矿脉、#r白英、蒲黄、#r草鱼（146，193）、#r青鱼（172，173）。	0.2;0.2
4	太湖	320	320	taihu.scene	taihu.path	taihu.wCollision	taihu.jpg	102	60000	taihuscene	789	446	789	466	Sign1	MiniMap_Icon2	TaiHu_Normal	MiniMap_Icon2	TaiHu_Hover	野外场景#r生活原材料分布（1级）：#r铜矿脉、#r白英、蒲黄、#r草鱼（94，147）、#r青鱼（96，158）。	0.2;0.25
5	镜湖	320	320	jinghu.scene	jinghu.path	jinghu.wCollision	jinghu.jpg	103	60000	jinghuscene	735	573	735	594	Sign1	MiniMap_Icon2	JingHu_Normal	MiniMap_Icon2	JingHu_Hover	野外场景#r生活原材料分布（1级）：#r铜矿脉、#r白英、蒲黄、#r草鱼（47，139）、#r青鱼（146，188）。	0.2;0.25
6	无量山	320	320	wuliang.scene	wuliang.path	wuliang.wCollision	wuliangshan.jpg	122	60000	wuliangscene	530	685	530	708	Sign1	MiniMap_Icon	WuLiangShan_Normal	MiniMap_Icon	WuLiangShan_Hover	野外场景#r怪物等级1-10#r怪物种类：#r高山白猿、大黄蜂、#r闪电豹、山蛛、#r芦苇草人，#r生活原材料分布（1级）：#r铜矿脉、#r白英、蒲黄、#r草鱼（175，208）、#r青鱼（161，223）。	0.2;0.25
7	剑阁	320	320	jiange.scene	jiange.path	jiange.wCollision	jiange.jpg	20	60000	jiangescene	368	488	369	509	Sign1	MiniMap_Icon2	JianGe_Normal	MiniMap_Icon2	JianGe_Hover	野外场景#r怪物等级1-10#r怪物种类：#r蜀道白猿、蜀道黑猿、#r白茅草人、鬼面侏儒、#r榆木傀儡，#r生活原材料分布（1级）：#r铜矿脉、#r白英、蒲黄、#r草鱼（60，60）、#r青鱼（88，220）。	0.2;0.2
8	敦煌	320	320	dunhuang.scene	dunhuang.path	dunhuang.wCollision	dunhuang.jpg	104	60000	dunhuangscene	365	240	365	262	Sign1	MiniMap_Icon2	DunHuang_Normal	MiniMap_Icon2	DunHuang_Hover	野外场景#r怪物等级9-16#r怪物种类：#r沙坡狼、残破兵俑、#r荒原豹、榆木傀儡、#r沙漠马匪、恶猿，#r生活原材料分布（1级）：#r铜矿脉、#r白英、蒲黄、#r草鱼（223，166）、#r青鱼（248，201）。	0.2;0.15
