INT	INT	STRING
INT	INT	STRING
0	0	洛阳
1	1	苏州
2	2	大理
3	3	嵩山
4	4	太湖
5	5	镜湖
6	6	无量山
7	7	剑阁
8	8	敦煌
9	9	少林寺
10	10	丐帮总舵
11	11	光明殿
12	12	武当山
13	13	天龙寺
14	14	凌波洞
15	15	峨嵋山
16	16	星宿海
17	17	天山
18	18	雁南
19	19	雁北
20	20	草原
21	21	辽西
22	22	长白山
23	23	黄龙府
24	24	洱海
25	25	苍山
26	26	石林
27	27	玉溪
28	28	南诏
29	29	苗疆
30	30	西湖
31	31	龙泉
32	32	武夷
33	33	梅岭
34	34	南海
35	35	琼州
39	112	玄武岛
40	40	预留2
41	41	预留3
50	122	小木人巷2
61	122	小木人巷
62	123	后花园
71	2	大理2
72	2	大理3
73	6	无量山2
74	6	无量山3
75	7	剑阁2
76	7	剑阁3
77	77	地府
81	122	小木人巷3
82	123	后花园2
86	129	雁南山洞
87	130	雁北山洞
88	131	西湖山洞
89	132	苍山山洞
121	164	西湖
122	165	藏经阁
123	166	宝藏洞一层
125	168	华山绝顶
126	169	宝藏洞二层
128	171	藏经阁
129	172	藏经阁
139	182	少林寺
140	183	丐帮总舵
141	184	光明殿
142	185	武当山
143	186	天龙寺
144	187	凌波洞
145	188	峨嵋山
146	189	星宿海
147	190	天山
148	191	宝藏洞三层
149	192	宝藏洞四层
150	193	宝藏洞五层
151	194	监狱
156	199	大军草料场
157	200	苗人洞
158	201	圣兽山
159	202	燕王古墓一层
160	203	燕王古墓二层
161	204	燕王古墓三层
162	205	燕王古墓四层
163	206	燕王古墓五层
164	207	燕王古墓六层
165	208	燕王古墓七层
166	209	燕王古墓八层
167	210	燕王古墓九层
168	211	山洞船坞
169	212	剑冢
170	213	摩崖洞
171	214	野人沟
172	215	温泉洞
173	216	黄龙洞
174	217	水晶湖
175	218	先王坟
176	219	天坑树洞
177	220	桃花源
178	221	海贼洞
179	222	雪狼湖
180	223	凤凰古镇
181	224	钱庄
182	123	后花园3
183	171	藏经阁
185	171	藏经阁
186	246	楼兰
188	229	银皑雪原
193	240	大理休息室
194	243	寒玉谷
400	262	秦皇地宫一层
401	263	秦皇地宫二层
402	264	秦皇地宫三层
409	271	亮马驿
414	234	竞技场
415	235	盐湖
418	238	洛阳第一休息室
419	239	洛阳第二休息室
420	260	束河古镇
423	244	火焰山
424	245	高昌
425	247	塔里木
427	253	塔克拉玛干
431	249	大宛
432	255	汗血岭
517	237	白沙盐坑
518	241	苏州休息室
519	251	火焰谷
520	252	高昌迷宫
