INT	STRING	INT	INT	INT	STRING
INT	STRING	INT	INT	INT	STRING
0	洛阳	0	159	285	通往嵩山
1	洛阳	0	31	129	通往敦煌
2	洛阳	0	287	127	通往雁南
3	苏州	1	183	287	通往西湖
4	苏州	1	31	162	通往镜湖
5	苏州	1	182	31	通往太湖
6	大理	2	159	288	通往洱海
7	大理	2	28	151	通往剑阁
8	大理	2	291	152	通往无量山
9	嵩山	3	287	247	通往太湖
10	嵩山	3	287	135	通往少林寺
11	嵩山	3	31	55	通往洛阳
12	太湖	4	288	232	通往光明顶
13	太湖	4	216	282	通往苏州
14	太湖	4	279	32	通往丐帮总舵
15	太湖	4	90	22	通往嵩山
16	镜湖	5	36	286	通往无量山
17	镜湖	5	28	234	通往武当山
18	镜湖	5	286	43	通往苏州
19	无量山	6	31	175	通往大理
20	无量山	6	116	31	通往凌波洞
21	无量山	6	94	287	通往天龙寺
22	无量山	6	284	77	通往镜湖
23	剑阁	7	35	287	通往大理
24	剑阁	7	105	38	通往敦煌
25	剑阁	7	286	172	通往峨眉山
26	敦煌	8	286	144	通往洛阳
27	敦煌	8	231	288	通往剑阁
28	敦煌	8	55	34	通往天山
29	敦煌	8	33	277	通往星宿海
30	少林寺	9	95	168	通往嵩山
31	丐帮总舵	10	91	159	通往太湖
32	光明顶	11	97	173	通往太湖
33	武当山	12	95	191	通往镜湖
34	天龙寺	13	96	146	通往无量山
35	凌波洞	14	37	130	通往无量山
36	峨嵋山	15	89	158	通往剑阁
37	星宿海	16	96	159	通往敦煌
38	天山	17	94	160	通往敦煌
39	雁南	18	32	57	通往草原
40	雁南	18	247	32	通往雁北
41	雁南	18	264	287	通往洛阳
42	雁北	19	229	280	通往雁南
43	草原	20	287	257	通往雁南
44	草原	20	271	31	通往长白山
45	草原	20	119	31	通往辽西
46	辽西	21	61	297	通往草原
47	长白山	22	32	269	通往草原
48	长白山	22	287	72	通往黄龙府
49	黄龙府	23	48	287	通往长白山
50	洱海	24	288	31	通往大理
51	洱海	24	32	155	通往苍山
52	洱海	24	32	281	通往石林
53	苍山	25	288	56	通往洱海
54	石林	26	31	251	通往南诏
55	石林	26	270	128	通往洱海
56	石林	26	112	33	通往玉溪
57	玉溪	27	37	46	通往石林
58	南诏	28	282	46	通往石林
59	南诏	28	106	287	通往苗疆
60	苗疆	29	69	35	通往南诏
61	西湖	30	265	288	通往武夷
62	西湖	30	32	51	通往苏州
63	西湖	30	288	55	通往龙泉
64	龙泉	31	31	276	通往西湖
65	武夷	32	35	30	通往西湖
66	武夷	32	248	287	通往南海
67	武夷	32	284	181	通往梅岭
68	梅岭	33	32	275	通往武夷
69	南海	34	32	36	通往武夷
70	南海	34	288	174	通往琼州
71	琼州	35	280	287	通往南海
72	水牢	66	96	95	通往洛阳
73	珍珑棋局	61	39	39	通往洛阳
74	木人巷	47	22	12	通往大理
75	叛军营地	42	57	115	通往洛阳
76	光明洞	102	12	41	通往光明顶
77	逍遥谷底	103	43	57	通往凌波洞
78	灵性峰	104	44	53	通往武当山
79	丐帮酒窖	105	45	53	通往丐帮总舵
80	桃花阵	106	16	53	通往峨嵋山
81	塔林	107	34	53	通往少林寺
82	五神洞	108	8	39	通往星宿海
83	折梅峰	109	24	55	通往天山
84	塔底	111	53	48	通往天龙寺
85	小木人巷	122	81	84	通往大理
86	后花园	123	111	109	通往大理
87	雁南山洞	129	89	180	通往雁南
88	雁北山洞	130	89	180	通往雁北
89	西湖山洞	131	89	180	通往西湖
90	苍山山洞	132	89	180	通往苍山
91	擂台	82	9	33	通往大理
92	擂台	92	50	31	通往洛阳
93	敦煌	8	149	37	通往宝藏洞一层
94	宝藏洞一层	166	233	239	通往敦煌
95	宝藏洞一层	166	18	15	通往宝藏洞二层
96	宝藏洞二层	169	232	234	通往宝藏洞一层
97	雁南	18	34	38	通往雁南山洞
98	雁北	19	60	60	通往雁北山洞
99	西湖	30	42	227	通往西湖山洞
100	苍山	25	277	122	通往苍山山洞
101	火焰山	244	40	220	通往高昌
102	高昌	245	220	220	通往火焰山
103	石林	26	46	270	通往盐湖
104	盐湖	235	50	30	通往石林
105	高昌	424	26	36	通往楼兰
106	塔里木	425	31	29	通往楼兰
107	楼兰	186	295	143	通往高昌
108	楼兰	186	160	300	通往塔里木
109	束河古镇	420	27	289	通往苍山
110	苍山	25	166	56	通往束河古镇
