INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
1	洛阳	0	33	129	敦煌	8	276	145	0	1	0	0	8
2	洛阳	0	159	288	嵩山	3	42	54	0	1	0	0	3
3	洛阳	0	288	127	雁南	18	264	278	0	1	0	0	18
4	苏州	1	32	162	镜湖	5	277	46	0	0	0	1	5
5	苏州	1	182	33	太湖	4	218	271	0	1	0	1	4
6	苏州	1	182	287	西湖	30	39	52	0	1	0	1	30
7	大理	2	160	288	洱海	24	280	37	0	1	10	2	24
10007	大理2	2	160	288	洱海	24	280	37	0	1	10	71	24
10008	大理3	2	160	288	洱海	24	280	37	0	1	10	72	24
8	大理	2	28	152	剑阁	7	40	278	0	1	0	2	7
10010	大理2	2	28	152	剑阁2	7	40	278	0	1	0	71	75
10011	大理3	2	28	152	剑阁3	7	40	278	0	1	0	72	76
9	大理	2	292	152	无量山	6	43	172	0	1	0	2	6
10013	大理2	2	292	152	无量山2	6	43	172	0	1	0	71	73
10014	大理3	2	292	152	无量山3	6	43	172	0	1	0	72	74
10	嵩山	3	34	55	洛阳	0	160	278	0	0	0	3	0
11	嵩山	3	285	135	少林寺	9	95	146	0	0	0	3	9
12	嵩山	3	286	247	太湖	4	88	35	0	1	0	3	4
13	太湖	4	280	32	丐帮总舵	10	92	153	0	0	0	4	10
14	太湖	4	286	230	光明殿	11	98	149	0	0	0	4	11
15	太湖	4	91	23	嵩山	3	281	256	0	1	0	4	3
16	太湖	4	215	281	苏州	1	182	53	0	0	0	4	1
17	镜湖	5	285	44	苏州	1	64	163	0	0	0	5	1
18	镜湖	5	38	284	无量山	6	276	80	0	1	0	5	6
19	镜湖	5	29	232	武当山	12	93	182	0	0	0	5	12
20	无量山	6	32	176	大理	2	280	152	0	0	0	6	2
10026	无量山2	6	32	176	大理2	2	280	152	0	0	0	73	71
10027	无量山3	6	32	176	大理3	2	280	152	0	0	0	74	72
21	无量山	6	287	77	镜湖	5	46	278	0	0	10	6	5
10029	无量山2	6	287	77	镜湖	5	46	278	0	0	10	73	5
10030	无量山3	6	287	77	镜湖	5	46	278	0	0	10	74	5
22	无量山	6	116	33	凌波洞	14	42	128	0	0	0	6	14
10032	无量山2	6	116	33	凌波洞	14	42	128	0	0	0	73	14
10033	无量山3	6	116	33	凌波洞	14	42	128	0	0	0	74	14
23	无量山	6	94	286	天龙寺	13	96	128	0	0	0	6	13
10035	无量山2	6	94	286	天龙寺	13	96	128	0	0	0	73	13
10036	无量山3	6	94	286	天龙寺	13	96	128	0	0	0	74	13
24	剑阁	7	36	286	大理	2	39	152	0	0	0	7	2
10038	剑阁2	7	36	286	大理2	2	39	152	0	0	0	75	71
10039	剑阁3	7	36	286	大理3	2	39	152	0	0	0	76	72
25	剑阁	7	105	40	敦煌	8	230	270	0	1	10	7	8
10041	剑阁2	7	105	40	敦煌	8	230	270	0	1	10	75	8
10042	剑阁3	7	105	40	敦煌	8	230	270	0	1	10	76	8
26	剑阁	7	285	172	峨嵋山	15	89	139	0	0	0	7	15
10044	剑阁2	7	285	172	峨嵋山	15	89	139	0	0	0	75	15
10045	剑阁3	7	285	172	峨嵋山	15	89	139	0	0	0	76	15
27	敦煌	8	149	38	宝藏洞一层	166	233	228	0	1	0	8	123
28	敦煌	8	231	286	剑阁	7	106	47	0	1	0	8	7
29	敦煌	8	284	146	洛阳	0	37	134	0	0	0	8	0
30	敦煌	8	55	34	天山	17	95	150	0	0	0	8	17
31	敦煌	8	33	277	星宿海	16	96	152	0	0	0	8	16
32	少林寺	9	96	156	嵩山	3	279	136	0	1	20	9	3
33	丐帮总舵	10	91	158	太湖	4	280	43	0	1	20	10	4
34	光明殿	11	97	173	太湖	4	279	226	0	1	20	11	4
35	武当山	12	95	191	镜湖	5	34	233	0	0	20	12	5
36	天龙寺	13	95	145	无量山	6	94	278	0	1	0	13	6
37	凌波洞	14	37	130	无量山	6	114	44	0	1	0	14	6
38	峨嵋山	15	89	156	剑阁	7	277	168	0	1	0	15	7
39	星宿海	16	96	159	敦煌	8	43	274	0	1	20	16	8
