INT	INT	STRING	STRING	INT	INT
INT	INT	INT	INT	INT	INT
0	0	0	0	0	-1
1	0	0	0	0	-1
2	0	0	0	0	-1
3	0	0	0	0	-1
4	0	0	0	0	-1
5	0	0	0	0	-1
6	0	0	0	0	-1
7	0	0	0	0	-1
8	0	0	0	0	-1
9	0	0	0	0	-1
10	0	0	0	0	-1
11	0	0	0	0	-1
12	0	0	0	0	-1
13	0	0	0	0	-1
14	0	0	0	0	-1
15	0	0	0	0	-1
16	0	0	0	0	-1
17	0	0	0	0	-1
18	0	0	0	0	-1
19	0	0	0	0	-1
20	0	0	0	0	-1
21	0	0	0	0	-1
22	0	0	0	0	-1
23	0	0	0	0	-1
24	0	0	0	0	-1
25	0	0	0	0	-1
26	0	0	0	0	-1
27	0	0	0	0	-1
28	0	0	0	0	-1
29	0	0	0	0	-1
30	0	0	0	0	-1
31	0	0	0	0	-1
32	0	0	0	0	-1
33	0	0	0	0	-1
34	0	0	0	0	-1
35	0	0	0	0	-1
36	0	0	0	0	-1
37	0	0	0	0	-1
38	0	0	0	0	-1
39	0	0	0	0	-1
101	0	0	0	0	-1
102	0	0	0	0	-1
103	0	0	0	0	-1
104	0	0	0	0	-1
105	0	0	0	0	-1
106	0	0	0	0	-1
107	0	0	0	0	-1
108	0	0	0	0	-1
109	0	0	0	0	-1
110	0	0	0	0	-1
111	0	0	0	0	-1
112	0	0	0	0	-1
113	0	0	0	0	-1
114	0	0	0	0	-1
115	0	0	0	0	-1
116	0	0	0	0	-1
117	0	0	0	0	-1
118	0	0	0	0	-1
119	0	0	0	0	-1
120	0	0	0	0	-1
121	0	0	0	0	-1
122	0	0	0	0	-1
123	0	0	0	0	-1
124	0	0	0	0	-1
125	0	0	0	0	-1
126	0	0	0	0	-1
241	0	0	25	0	-1
242	0	0	10	0	-1
243	0	0	10	0	-1
244	0	0	10	0	-1
245	0	0	50	0	-1
246	0	0	25	0	-1
247	0	0	10	0	-1
248	0	0	50	0	-1
249	0	0	10	0	-1
260	0	0	0	0	-1
261	0	0	0	0	-1
262	0	0	0	0	-1
263	0	0	0	0	-1
264	0	0	0	0	-1
265	0	0	0	0	-1
