INT	INT	STRING
INT	INT	STRING
1	47	UI错误
2	60	收到队伍邀请
3	61	离开队伍
4	62	加入队伍、拜入师门
5	63	商品上下架、摆摊的上下架
6	64	修理
7	65	治疗声
8	66	等级提升
9	67	装备武器或防具
10	68	点击进入游戏
11	70	任务增加
12	79	合成开始  注：合成不算生活技能
13	80	合成成功  注：合成不算生活技能
14	84	获得金钱
15	96	背包满
16	99	好友上下线提示
17	435	点击按钮通用音效
18	434	点击窗口关闭按钮通用音效
19	441	窗口打开通用音效
20	440	窗口关闭通用音效
21	430	系统返回失败信息
22	446	scroll_up通用音效
23	445	scroll_down通用音效
24	438	掏出硬币的声音
25	450	打开系统窗口
26	449	关闭系统窗口
27	442	收到信息
28	444	打开物品窗口
29	443	关闭物品窗口
30	437	打开任务窗口
31	436	关闭任务窗口
32	448	打开技能窗口
33	447	关闭技能窗口
34	439	打开人物窗口
35	434	关闭人物窗口
