INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING
INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING
0	10124045	0	0	0	0	0	0	3		
1	10124053	0	0	0	0	0	0	3		
2	10124061	0	0	0	0	0	0	3		
3	10124047	0	0	0	0	0	0	1		
4	10124055	0	0	0	0	0	0	1		
5	10124063	0	0	0	0	0	0	1		
6	10124044	0	0	0	0	0	0	0		
7	10124052	0	0	0	0	0	0	0		
8	10124060	0	0	0	0	0	0	0		
9	10124048	0	0	0	0	0	0	1		
10	10124056	0	0	0	0	0	0	1		
11	10124064	0	0	0	0	0	0	1		
12	10124073	0	0	0	0	0	0	3		
13	10124074	0	0	0	0	0	0	3		
14	10124075	0	0	0	0	0	0	3		
