INT	INT	INT	STRING	INT	STRING	STRING
INT	INT	INT	STRING	INT	STRING	STRING
0	1	-1	燕子坞BOSS	-1		
1	1	-1	活动BOSS	-1		
2	1	-1	燕王古墓BOSS	-1		
3	1	-1	玄武岛BOSS	-1		
4	1	-1	苍山BOSS	-1		
5	1	-1	武夷BOSS	-1		
6	1	-1	草原BOSS	-1		
7	1	-1	镜湖BOSS	-1		
8	1	-1	圣兽山BOSS	-1		
9	1	-1	连环副本BOSS	-1		
10	1	-1	门派副本BOSS	-1		
11	1	-1	寒玉谷BOSS	-1		
12	1	-1	缥缈峰BOSS	-1		
13	1	-1	初战缥缈峰BOSS	-1		
14	1	-1	束河古镇BOSS	-1		
15	1	-1	秦皇地宫BOSS	-1		
16	1	-1	天降奇兽副本BOSS	-1		
17	1	-1	楼兰寻宝副本BOSS	-1		
18	1	-1	楼兰连环副本BOSS	-1		
19	1	-1	其它场景BOSS	-1		
20	-1	0	慕容复	0	#Y[慕容复]	#Y[慕容复]#r#G挑战燕子坞#r60级以上组队挑战副本#ccc33cc#r掉落：#W#r秘银碎片#r新莽神符#r染料丝线#r套装#r宝石雕琢符#r珍兽蛋：英招#r要决：落马箭#r百变如意：慕容复
21	-1	0	鸠摩智	1	#Y[鸠摩智]	#Y[鸠摩智]#r#G挑战燕子坞#r60级以上组队挑战副本#ccc33cc#r掉落：#W#r精铁碎片#r染料丝线#r武器#r宝石雕琢符#r百变如意：鸠摩智
22	-1	0	段延庆	2	#Y[段延庆]	#Y[段延庆]#r#G挑战燕子坞#r60级以上组队挑战副本#ccc33cc#r掉落：#W#r宝石雕琢符#r棉布碎片#r装备#r百变如意：段延庆
23	-1	0	叶二娘	98	#Y[叶二娘]	#Y[叶二娘]#r#G挑战燕子坞#r60级以上组队挑战副本
24	-1	0	岳老三	99	#Y[岳老三]	#Y[岳老三]#r#G挑战燕子坞#r60级以上组队挑战副本
25	-1	0	云中鹤	100	#Y[云中鹤]	#Y[云中鹤]#r#G挑战燕子坞#r60级以上组队挑战副本
26	-1	1	蹴鞠十三妹孙美美	4	#Y[蹴鞠十三妹孙美美]	#Y[蹴鞠十三妹孙美美]#r#G横扫牡丹碗蹴鞠大赛#r每个月的第一个周日及第三个周日晚19：00—23：00，30级以上组队到洛阳童贯[203，58]处参加活动挑战。#ccc33cc#r掉落：#W#r新莽神符#r签名足球
27	-1	1	远古棋魂	26	#Y[远古棋魂]	#Y[远古棋魂]#r#G棋局#r10级以上，每天中午11：30—14：30，晚间20：30—22：00可组队找到洛阳的王积薪[271，88]、苏州的张奕国[174，147]或者找大理的刘仲甫[275，95]参加活动挑战。#ccc33cc#r掉落：#W#r珍兽还童卷轴#r药品#r鉴定卷轴#r1级宝石
