INT	INT	INT	INT	STRING	STRING	STRING	STRING
INT	INT	INT	INT	STRING	STRING	STRING	STRING
0	0	255	0	当前我能做什么任务	保留一		保留3
1	0	255	0	我应该去哪打怪			
2	0	255	0	BOSS手册			
3	0	255	0	当前服务器时间			
4	0	255	0	其他			
5	0	255	0	#G账号安全			
6	10	30	0	如何回自己门派	#Y如何回自己门派？#r #r #W通过#G苏州、洛阳、大理#g000000#W和#G楼兰#g000000#W的#gfff0f0驿站老板#g000000#W都可以回自己的门派。#gfff0f0按Tab键#g000000#W打开地图，可以按住鼠标右键拖动找寻#gfff0f0 “驿”字样#g000000#W的地方。#r#G大理#g000000#W驿站坐标：#G（241，136）#g000000#W。#r#G苏州#g000000#W驿站坐标：#G（111，160）#g000000#W、#G（239，128）#g000000#W。#r#r#G洛阳#g000000#W驿站坐标：#G（139，182）#g000000#W、#G（236，131）#g000000#W。#r#G楼兰#g000000#W驿站坐标：#G（285，130）#g000000#W。#r		
7	10	40	0	如何学习心法和技能	#Y如何学习心法和技能？#r #r #W到每个门派的#gfff0f0技能传授人#g000000#W处可以#gfff0f0升级心法#g000000#W，方法是回到自己门派之后#gfff0f0按tab#g000000#W打开地图，找寻#gfff0f0 “师”字样#g000000#W的地点（按住鼠标右键可以拖动地图）。#r按#gfff0f0Alt＋S#g000000#W将会出现技能界面，点击心法后，下面的一排将会显示技能图标，#gfff0f0已经学会#g000000#W的技能将会显示，将技能拖至#gfff0f0快捷栏#g000000#W即可使用。#r#gfff0f020级以下只能学习#gfff0f0第一、第四、第五本心法。#g000000#r如果您很少参与PK的话，可以少量的提升#gfff0f0第二、第三、第六本心法#g000000的等级。#r学习心法的时候需要#gfff0f0花费一定的金钱和经验#g000000，心法的等级越高花费的越多。#r心法的#gfff0f0等级#g000000越高，#gfff0f0技能的强度#g000000越高。#r不同的心法还可以增加#gfff0f0人物的部分属性。#g000000#r		
8	10	40	0	游戏中的一些小操作	#Y游戏中的一些小操作：#r #r #W对一个物品#gfff0f0点击鼠标右键#g000000#W即可#gfff0f0使用#g000000#W或者#gfff0f0装备#g000000#W此物品。#r#gfff0f0按F11#g000000#W可以#gfff0f0隐藏#g000000#W所有玩家的#gfff0f0名字#g000000#W，再次#gfff0f0按F11#g000000#W即可显示。#r按#gfff0f0F12#g000000#W可以#gfff0f0隐藏所有玩家#g000000#W，再次#gfff0f0按F12#g000000#W即可显示。#r按住#gfff0f0鼠标右键#g000000#W不动可以#gfff0f0左右转换视角#g000000#W。#r按住#gfff0f0alt+home#g000000#W或者#gfff0f0alt+end#g000000#W可以#gfff0f0上下转换视角#g000000#W。#r按住#gfff0f0ctrl+鼠标左键#g000000#W可以在聊天频道中#gfff0f0展示您的物品#g000000#W。#r按住#gfff0f0shift+鼠标左键#g000000#W可以#gfff0f0拆分物品#g000000#W。#r#gfff0f0系统设置#g000000#W当中的游戏性设置有好多体贴的设置哦！选中#gfff0f0非聊天模式#g000000#W之后，#gfff0f0按数字键#g000000#W就可以#gfff0f0释放技能#g000000#W了；选中#gfff0f0锁定快捷栏#g000000#W之后，就不会因为战斗紧张时将技能图标拖出来了；#gfff0f0选择快速切换场景#g000000#W之后，切换场景的#gfff0f0速度#g000000#W将会加快。#r		
9	0	20	0	经验条满后如何升级	#Y十级以后经验条满后如何升级？#r #r #W当您发现您快捷栏上边的#gfff0f0经验条#g000000#W满后，点击屏幕左下角的#gfff0f0人物#g000000#W按钮（或者按#gfff0f0ALT+C键#g000000#W打开），进入人物界面后，查看#gfff0f0拥有经验#g000000#W和#gfff0f0升级经验#g000000#W两项，如果#gfff0f0拥有经验#g000000#W已经#gfff0f0等于或者#gfff0f0大于升级经验#g000000#W，而您又希望#gfff0f0使用经验升级#g000000#W的话（经验也可以用来学习生活技能），点击本界面#gfff0f0右下角狮子头#g000000#W（经验满后狮子头会显示#gfff0f0升级#g000000#W两个字）进行升级。		
10	0	10	0	如何加入门派	#Y如何加入门派？#r #r #W通过#G大理#g000000#W驿站老板#G（241，136）#R崔逢九#W（也可以按Tab键打开城市地图找“驿”的字样）可以传送至各个门派，然后找每个门派的掌门即可拜师入派。#r如果您想了解各个门派的特色可以去#G大理#g000000#W找#G（160，156）#R赵天师#W询问，他会给您一个满意的答案。#r #W另外，加入门派后，找门派中的#gfff0f0任务发布人#g000000#W，可以领取#gfff0f0门派任务#g000000#W，记得#gfff0f0每天的前一轮#g000000#W任务（一轮根据等级不同而不同，大约为10～20个任务）#gfff0f0奖励翻倍#g000000#W哦！#r#W还有，找自己门派当中的#gfff0f0技能传授人#g000000#W，花费一定的#gfff0f0经验和金钱#g000000#W即可学习#gfff0f0本门独有的技能#g000000#W。		
