INT	STRING	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
INT	STRING	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
0	测试用	10	20	0.05	20	2	10	0.05	20	男衣服06c披风	clotho1	clotho2	Material #18	clotho1	clotho2	clotho3	clotho4	女主角04b飘带.mesh	Material #18		
1	1	10	20	0.05	20	2	10	0.05	20	男主角布甲披风01	clotho1	clotho2	女主角b01001飘带	clotho1-03b01	clotho1-03b02	clotho1-03b03	clotho1-03b04	女主角b03001飘带.mesh	女主角b01001飘带	男主角布甲披风01a.mesh	男主角布甲披风01a
2	2	10	20	0.05	20	2	10	0.05	20	男主角布甲披风02	clotho1	clotho2	女主角b02001飘带	clotho1-03b01	clotho1-03b02	clotho1-03b03	clotho1-03b04	女主角b03001飘带.mesh	女主角b02001飘带	男主角布甲披风02a.mesh	男主角布甲披风02a
3	3	10	20	0.05	20	2	10	0.05	20	男主角布甲披风03	clotho1	clotho2	女主角b03001飘带	clotho1-03b01	clotho1-03b02	clotho1-03b03	clotho1-03b04	女主角b03001飘带.mesh	女主角b03001飘带	男主角布甲披风02a.mesh	男主角布甲披风02a
4	4	10	20	0.05	20	2	10	0.05	20	男主角布甲披风04	clotho1	clotho2	女主角b04001飘带	clotho1-06p01	clotho1-06p02	clotho1-06p03	clotho1-06p04	女主角p06001飘带.mesh	女主角b04001飘带	男主角布甲披风04a.mesh	男主角布甲披风04a
5	5	10	20	0.05	20	2	10	0.05	20	男主角布甲披风05	clotho1	clotho2	女主角b05001飘带	clotho1-06p01	clotho1-06p02	clotho1-06p03	clotho1-06p04	女主角p06001飘带.mesh	女主角b05001飘带	男主角布甲披风05a.mesh	男主角布甲披风05a
6	6	10	20	0.05	20	2	10	0.05	20	男主角布甲披风06	clotho1	clotho2	女主角b06001飘带	clotho1-03b01	clotho1-03b02	clotho1-03b03	clotho1-03b04	女主角b03001飘带.mesh	女主角b06001飘带	男主角布甲披风06a.mesh	男主角布甲披风06a
7	7	10	20	0.05	20	2	10	0.05	20	男主角布甲披风07	clotho1	clotho2	女主角b07001飘带	clotho1-03b01	clotho1-03b02	clotho1-03b03	clotho1-03b04	女主角b03001飘带.mesh	女主角b07001飘带		
8	8	10	20	0.05	20	2	10	0.05	20	男主角布甲披风08	clotho1	clotho2	女主角b08001飘带	clotho1-03b01	clotho1-03b02	clotho1-03b03	clotho1-03b04	女主角b03001飘带.mesh	女主角b08001飘带		
