INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	INT
ID	名称	准乘人数	ModelID	AddHeight	RideRecipe	主坐动作组索引	主绑定点	副坐动作组索引	副绑定点	坐骑的移动声音ID	是否能跳跃
0	虎	1	1010	0.5	447	0	attach1	0	attach1	-1	1
1	黄骠马	1	1011	0.6	448	1	attach1	1	attach1	-1	1
2	灰狼	1	1012	0.5	455	2	attach1	2	attach1	-1	1
3	雕	1	1007	0.5	454	3	attach1	3	attach1	-1	-1
4	鹿	1	1014	0.6	453	4	attach1	4	attach1	-1	1
5	鹤	1	1008	0.9	450	5	attach1	5	attach1	-1	-1
6	青凤	1	1018	0.5	451	6	attach1	6	attach1	-1	-1
7	骆驼	1	1015	0.6	449	7	attach1	7	attach1	-1	1
8	牦牛	1	1016	0.6	452	8	attach1	8	attach1	-1	1
9	白虎	1	1002	0.5	456	9	attach1	9	attach1	-1	1
10	青白骢马	1	1017	0.6	457	10	attach1	10	attach1	-1	1
11	白狼	1	1003	0.5	464	11	attach1	11	attach1	-1	1
12	白雕	1	1001	0.5	463	12	attach1	12	attach1	-1	-1
13	白鹿	1	1004	0.6	462	13	attach1	13	attach1	-1	1
14	金翼鹤	1	1013	0.9	459	14	attach1	14	attach1	-1	-1
15	红白凤	1	1009	0.5	460	15	attach1	15	attach1	-1	-1
16	白骆驼	1	1005	0.6	458	16	attach1	16	attach1	-1	1
17	白牦牛	1	1006	0.6	461	17	attach1	17	attach1	-1	1
18	狮子	1	1019	0.6	561	18	attach1	18	attach1	-1	1
19	白狮	1	1020	0.6	562	19	attach1	19	attach1	-1	1
20		1	-1	0.6	20	20	attach1	20	attach1	-1	1
21	走雕	1	1025	0.5	446	21	attach1	21	attach1	-1	1
22	走白雕	1	1026	0.5	445	22	attach1	22	attach1	-1	1
23	象	2	1027	0.7	443	23	attach1	23	attach2	-1	1
24	白象	2	1028	0.7	444	23	attach1	24	attach2	-1	1
25	双人雕	2	1021	1.3	-1	31	骑乘点01	31	骑乘点02	-1	-1
26	骑乘陆吾	1	1029	0.6	440	24	attach1	24	attach1	-1	1
27	骑乘木牛流马	1	1030	0.6	439	25	attach1	25	attach1	-1	1
28	骑乘鸵鸟	1	1031	0.6	436	23	attach1	23	attach1	-1	1
29	骑乘犀牛	2	1032	0.7	442	23	attach1	23	attach2	-1	1
30	骑乘熊	1	1033	0.6	438	25	attach1	25	attach1	-1	1
31	骑乘玄龟	2	1034	0.5	441	26	attach1	26	attach2	-1	1
32	骑乘蜘蛛	1	1035	0.6	437	24	attach1	24	attach1	-1	1
33	骑乘河马	2	1036	0.7	430	23	attach1	23	attach2	-1	1
34	骑乘马车	1	1037	0.7	431	27	attach1	27	attach1	-1	-1
35	骑乘天马	1	1038	0.7	432	25	attach1	25	attach1	-1	1
36	骑乘兔子	1	1039	0.7	433	26	attach1	26	attach1	-1	1
37	骑乘舞狮	1	1040	0.7	434	23	attach1	23	attach1	-1	1
38	骑乘驯鹿	1	1041	0.7	435	25	attach1	25	attach1	-1	1
39	天使翅膀	1	1042	0.7	429	28	attach1	28	attach1	-1	-1
40	骑乘巨人	1	1043	0.7	427	26	attach1	26	attach1	-1	1
41	骑乘大绿龙	2	1044	0.7	428	23	attach2	23	attach1	-1	-1
42	骑乘麋鹿雪橇	2	1045	0.7	425	27	attach1	27	attach2	-1	-1
43	潘神骑乘	2	1046	0.7	426	23	attach1	23	attach2	-1	1
44	天使翅膀	1	1061	0.7	424	28	attach1	28	attach1	-1	-1
45	骑乘春节白熊	1	2051	0.6	438	25	attach1	25	attach1	-1	1
46	骑乘碧水金睛兽	1	2172	0.7	532	23	attach1	23	attach1	-1	1
47	骑乘旋转木马	2	2244	0.7	1079	23	attach1	23	attach2	-1	-1
48	骑乘春节年兽	1	2253	0.7	1077	23	attach1	23	attach1	-1	1
49	骑乘情人节花车1	2	2254	0.6	1078	26	attach1	26	attach2	-1	-1
50	骑乘白豹	1	2293	0.7	1080	23	attach1	23	attach1	-1	1
51	骑乘黑豹	1	2294	0.7	1081	23	attach1	23	attach1	-1	1
101	潘神骑乘	2	5007	0.7	426	23	attach1	23	attach2	-1	1
102	初级年兽坐骑	1	5004	0.7	1077	23	attach1	23	attach1	-1	1
103	中级年兽坐骑	1	5005	0.7	1077	23	attach1	23	attach1	-1	1
104	高级年兽坐骑	1	5006	0.7	1077	23	attach1	23	attach1	-1	1
105	潘神骑乘	2	5008	0.7	1082	23	attach1	23	attach2	-1	1
