INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
珍兽编号	名称$1$	珍兽类型	可携带等级	阵营	是否变异	是否宝宝	食物类	所能学的技能数	主动技能	主动技能生成几率（1/100w）	主动技能2	主动技能2生成几率（1/100w）	被动技能1	被动技能1生成几率（1/100W）	被动技能2	被动技能2生成几率（1/100W）	被动技能3	被动技能3生成几率（1/100W）	被动技能4	被动技能4生成几率（1/100W）	被动技能5	被动技能5生成几率（1/100W）	被动技能6	被动技能6生成几率（1/100W）	被动技能7	被动技能7生成几率（1/100W）	被动技能8	被动技能8生成几率（1/100W）	被动技能9	被动技能9生成几率（1/100W）	被动技能10	被动技能10生成几率（1/100W）	标准寿命	标准力量资质	标准体质资质	标准灵气资质	标准身法资质	标准定力资质	成长率1	成长率2	成长率3	成长率4	成长率5	胆小(1/1000)	谨慎(1/1000)	忠诚(1/1000)	精明(1/1000)	勇猛(1/1000)	珍兽繁殖时间(ms)	同类参考珍兽类型
558	飘飘鸭	298	1	9	1	0	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64800	208	208	208	208	208	500	550	575	650	750	900	50	20	20	10	6000	558
559	飘飘兔	299	1	9	1	0	100	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64800	208	208	208	208	208	500	550	575	650	750	900	50	20	20	10	6000	559
3000	成年兔子	300	5	9	0	0	100	10	688	100000	-1	-1	670	900000	668	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	571	652	1060	652	897	540	594	621	702	810	150	800	20	20	10	6000	3000
3001	变异兔子	300	5	9	1	0	100	10	688	100000	-1	-1	670	900000	668	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	742	848	1379	848	1166	540	594	621	702	810	150	800	20	20	10	6000	3000
3009	兔子宝宝	300	5	9	0	1	100	10	688	100000	-1	-1	670	900000	668	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	571	652	1060	652	897	540	594	621	702	810	150	800	20	20	10	6000	3000
3010	成年燕子	301	5	9	0	0	11	10	739	100000	-1	-1	712	900000	726	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	816	734	652	1060	571	540	594	621	702	810	10	20	800	20	150	6000	3010
3011	变异燕子	301	5	9	1	0	11	10	739	100000	-1	-1	712	900000	726	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	1060	954	848	1379	742	540	594	621	702	810	10	20	800	20	150	6000	3010
3019	燕子宝宝	301	5	9	0	1	11	10	739	100000	-1	-1	712	900000	726	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	816	734	652	1060	571	540	594	621	702	810	10	20	800	20	150	6000	3010
3020	成年乌龟	302	5	9	0	0	1000	10	690	300000	-1	-1	658	900000	702	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	734	1060	652	652	734	540	594	621	702	810	800	150	20	20	10	6000	3020
3021	变异乌龟	302	5	9	1	0	1000	10	690	300000	-1	-1	658	900000	702	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	954	1379	848	848	954	540	594	621	702	810	800	150	20	20	10	6000	3020
