INT	STRING	INT	INT	INT	INT
INT	STRING	INT	INT	INT	INT
1	江泽民	1	1	1	1
2	胡锦涛	1	1	1	1
3	炮打中宣部	1	1	1	1
4	焦国标	1	1	1	1
5	六四	1	1	1	1
6	天安门事件	1	1	1	1
7	北京之春	1	1	1	1
8	八九风波	1	1	1	1
9	八九事件	1	1	1	1
10	八九运动	1	1	1	1
11	丁子霖	1	1	1	1
12	梓霖	1	1	1	1
13	刘晓竹	1	1	1	1
14	丁加班	1	1	1	1
15	何加栋	1	1	1	1
16	鲍彤	1	1	1	1
17	柴玲	1	1	1	1
18	吾尔开希	1	1	1	1
19	追查国际	1	1	1	1
20	新闻管制	1	1	1	1
21	舆论钳制	1	1	1	1
22	动态网	1	1	1	1
23	自由之门	1	1	1	1
24	大纪元	1	1	1	1
25	人民报	1	1	1	1
26	博讯新闻	1	1	1	1
27	明慧网	1	1	1	1
28	燕玲论坛	1	1	1	1
29	希望之声	1	1	1	1
30	新唐人	1	1	1	1
31	宗教迫害	1	1	1	1
32	全球公审	1	1	1	1
33	真善忍	1	1	1	1
34	法輪	1	1	1	1
35	轮子功	1	1	1	1
36	洗脑班	1	1	1	1
37	610办公室	1	1	1	1
38	鸡巴	1	1	1	1
39	肉缝	1	1	1	1
40	肉棒	1	1	1	1
41	淫水	1	1	1	1
42	肉壁	1	1	1	1
43	肉棍	1	1	1	1
44	八九学潮	1	1	1	1
45	“冰点”周刊	1	1	1	1
46	天安门	1	1	1	1
47	共产党	1	1	1	1
48	帐号	1	1	1	1
49	法轮	1	1	1	1
50	法轮功	1	1	1	1
51	张朝阳	1	1	1	1
52	GM	1	1	1	1
53	系统	1	1	1	1
54	系统管理员	1	1	1	1
55	管理员	1	1	1	1
56	系统邮件	1	1	1	1
57	系统的邮件	1	1	1	1
58	系统消息	1	1	1	1
59	系统的消息	1	1	1	1
60	GM邮件	1	1	1	1
61	队伍	0	2	2	0
62	中国	0	2	2	0
63	少林	0	2	2	0
64	少林寺	0	2	2	0
65	少林派	0	2	2	0
66	少林帮	0	2	2	0
67	武当	0	2	2	0
68	武当山	0	2	2	0
69	武当派	0	2	2	0
70	武当帮	0	2	2	0
71	峨嵋	0	2	2	0
72	峨嵋山	0	2	2	0
73	峨嵋派	0	2	2	0
74	峨嵋帮	0	2	2	0
75	丐帮	0	2	2	0
76	丐帮派	0	2	2	0
77	明教	0	2	2	0
78	明教派	0	2	2	0
79	明教帮	0	2	2	0
80	天山	0	2	2	0
81	天山派	0	2	2	0
82	天山帮	0	2	2	0
83	天山教	0	2	2	0
84	逍遥	0	2	2	0
85	逍遥派	0	2	2	0
86	逍遥帮	0	2	2	0
87	逍遥教	0	2	2	0
88	大理	0	2	2	0
89	大理派	0	2	2	0
90	大理帮	0	2	2	0
91	大理教	0	2	2	0
92	星宿	0	2	2	0
93	星宿派	0	2	2	0
94	星宿帮	0	2	2	0
95	星宿海	0	2	2	0
96	星宿教	0	2	2	0
97	洛阳	0	2	2	0
98	苏州	0	2	2	0
99	嵩山	0	2	2	0
100	太湖	0	2	2	0
101	镜湖	0	2	2	0
102	无量山	0	2	2	0
103	剑阁	0	2	2	0
104	敦煌	0	2	2	0
105	丐帮总舵	0	2	2	0
106	光明殿	0	2	2	0
107	天龙寺	0	2	2	0
108	凌波洞	0	2	2	0
109	雁南	0	2	2	0
110	雁北	0	2	2	0
111	草原	0	2	2	0
112	辽西	0	2	2	0
113	长白山	0	2	2	0
114	黄龙府	0	2	2	0
115	洱海	0	2	2	0
116	苍山	0	2	2	0
117	石林	0	2	2	0
118	玉溪	0	2	2	0
119	南诏	0	2	2	0
120	苗疆	0	2	2	0
121	西湖	0	2	2	0
122	龙泉	0	2	2	0
123	武夷	0	2	2	0
124	梅岭	0	2	2	0
125	南海	0	2	2	0
126	琼州	0	2	2	0
127	聚贤庄	0	2	2	0
128	燕子坞	0	2	2	0
129	一品堂	0	2	2	0
130	雁南正南	0	2	2	0
131	雁南正东	0	2	2	0
132	雁南正北	0	2	2	0
133	雁北正西	0	2	2	0
134	雁北西北	0	2	2	0
135	雁北东北	0	2	2	0
136	西湖正西	0	2	2	0
137	西湖正南	0	2	2	0
138	西湖正东	0	2	2	0
139	龙泉正北	0	2	2	0
140	龙泉正东	0	2	2	0
141	龙泉东南	0	2	2	0
142	苍山正西	0	2	2	0
143	苍山正东	0	2	2	0
144	苍山正南	0	2	2	0
145	洱海正西	0	2	2	0
146	洱海正南	0	2	2	0
147	洱海正东	0	2	2	0
148	草原正西	0	2	2	0
149	草原正东	0	2	2	0
150	草原正南	0	2	2	0
151	辽西西北	0	2	2	0
152	辽西正西	0	2	2	0
153	辽西东南	0	2	2	0
154	武夷正西	0	2	2	0
155	武夷正南	0	2	2	0
156	武夷东北	0	2	2	0
