INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT
INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT
1	洛阳	0	汪旱	184	230	129	128	1001	-1	-1	1	苏州	10	114	162
2	洛阳	0	汪旱	184	230	129	128	1007	-1	-1	1	苏州-铁匠铺	10	235	132
3	洛阳	0	汪旱	184	230	129	128	1002	-1	-1	2	大理	10	241	141
4	洛阳	0	汪旱	184	230	129	128	1011	-1	-1	186	楼兰	75	288	136
5	洛阳	0	汪旱	184	230	129	128	1010	-1	-1	420	束河古镇	20	200	211
6	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	16	门派-星宿	10	96	152
7	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	14	门派-逍遥	10	67	145
8	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	9	门派-少林	10	96	127
9	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	17	门派-天山	10	95	120
10	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	13	门派-天龙	10	96	120
11	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	15	门派-峨嵋	10	89	139
12	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	12	门派-武当	10	103	140
13	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	11	门派-明教	10	98	167
14	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	10	门派-丐帮	10	91	116
15	洛阳	0	吴德昌	86	139	182	82	1001	-1	-1	1	苏州	10	114	162
16	洛阳	0	吴德昌	86	139	182	82	1007	-1	-1	1	苏州-铁匠铺	10	235	132
17	洛阳	0	吴德昌	86	139	182	82	1002	-1	-1	2	大理	10	241	141
18	洛阳	0	吴德昌	86	139	182	82	1011	-1	-1	186	楼兰	75	288	136
19	洛阳	0	吴德昌	86	139	182	82	1010	-1	-1	420	束河古镇	20	200	211
20	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	16	门派-星宿	10	96	152
21	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	14	门派-逍遥	10	67	145
22	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	9	门派-少林	10	96	127
23	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	17	门派-天山	10	95	120
24	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	13	门派-天龙	10	96	120
25	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	15	门派-峨嵋	10	89	139
26	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	12	门派-武当	10	103	140
27	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	11	门派-明教	10	98	167
28	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	10	门派-丐帮	10	91	116
29	苏州	1	邓茂	152	239	128	1081	1001	-1	-1	0	洛阳	10	132	183
30	苏州	1	邓茂	152	239	128	1081	1006	-1	-1	0	洛阳-九州商会	10	234	132
31	苏州	1	邓茂	152	239	128	1081	1002	-1	-1	2	大理	10	241	141
32	苏州	1	邓茂	152	239	128	1081	1007	-1	-1	186	楼兰	75	288	136
33	苏州	1	邓茂	152	239	128	1081	1010	-1	-1	420	束河古镇	20	200	211
34	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	16	门派-星宿	10	96	152
35	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	14	门派-逍遥	10	67	145
36	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	9	门派-少林	10	96	127
37	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	17	门派-天山	10	95	120
38	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	13	门派-天龙	10	96	120
39	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	15	门派-峨嵋	10	89	139
40	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	12	门派-武当	10	103	140
41	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	11	门派-明教	10	98	167
42	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	10	门派-丐帮	10	91	116
43	苏州	1	李乘风	25	111	160	1028	1001	-1	-1	0	洛阳	10	132	183
44	苏州	1	李乘风	25	111	160	1028	1006	-1	-1	0	洛阳-九州商会	10	234	132
45	苏州	1	李乘风	25	111	160	1028	1002	-1	-1	2	大理	10	241	141
46	苏州	1	李乘风	25	111	160	1028	1007	-1	-1	186	楼兰	75	288	136
47	苏州	1	李乘风	25	111	160	1028	1010	-1	-1	420	束河古镇	20	200	211
48	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	16	门派-星宿	10	96	152
49	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	14	门派-逍遥	10	67	145
50	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	9	门派-少林	10	96	127
51	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	17	门派-天山	10	95	120
52	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	13	门派-天龙	10	96	120
53	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	15	门派-峨嵋	10	89	139
54	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	12	门派-武当	10	103	140
55	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	11	门派-明教	10	98	167
56	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	10	门派-丐帮	10	91	116
57	大理	2	崔逢九	0	241	136	2026	1001	-1	-1	0	洛阳	10	132	183
58	大理	2	崔逢九	0	241	136	2026	1006	-1	-1	0	洛阳-九州商会	10	234	132
59	大理	2	崔逢九	0	241	136	2026	1002	-1	-1	1	苏州	10	114	162
60	大理	2	崔逢九	0	241	136	2026	1007	-1	-1	1	苏州-铁匠铺	10	235	132
61	大理	2	崔逢九	0	241	136	2026	1011	-1	-1	186	楼兰	75	288	136
62	大理	2	崔逢九	0	241	136	2026	1010	-1	-1	420	束河古镇	20	200	211
63	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	16	门派-星宿	10	96	152
64	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	14	门派-逍遥	10	67	145
65	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	9	门派-少林	10	96	127
66	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	17	门派-天山	10	95	120
